ID,Date,Platform,Title,News content,Label,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
1,26/11/2023,Aljazeera news,نازحات يتحدثن عن فظائع الاحتلال خلال حصار مجمع الشفاء بغزة,"روت نازحات احتمين بمقر برنامج الأمم المتحدة الإنمائي ومجمع الشفاء الطبي فيقطاع غزة، للجزيرة، ما وصفنها بالفظائع التي اقترفها جيش الاحتلال الإسرائيلي بحق المدنيين إبان حصاره المبنى ومجمع الشفاء والمناطق المتاخمة له على مدى أسبوعين.
وعبّرت النازحات عن أملهن في تمديد الهدنة المؤقتة.
وأجبر جيش الاحتلال النازحين على قطع مسافة تناهز 10 كيلومترات سيرا على الأقدام، لتجاوز ""مفترق الشهداء"" الذي كانت تتمركز عليه دبابات وآليات عسكرية إسرائيلية، للوصول إلى ما بعد وادي غزة، في طريقهم إلى مدن ومخيمات جنوبي القطاع، التي تكتظ منازلها ومراكز الإيواء فيها بمئات الآلاف من النازحين.
ومن بين قرابة 2.2 مليون من سكان غزة، 49% منهم نساء أغلبهن في سن الشباب والإنجاب، مما يفاقم من أوضاعهن الصحية والنفسية جراء القصف والتشريد ويوميات الموت بين الأزقة والركام.









تابع الجزيرة نت على:",Real,,,,
2,4/11/2023,Aljazeera news,أبو عبيدة: دمرنا 24 آلية عسكرية إسرائيلية,"قال الناطق باسمكتائب الشهيد عز الدين القسام-الجناح العسكري لحركة المقاومة الإسلامية (حماس)- أبو عبيدة إن الكتائب دمرت 24 آلية عسكرية إسرائيلية، مؤكدا ""مقاتلونا يواصلون الالتفاف خلف قوات العدو ويلتحمون من المسافة صفر مع جنوده"".
وأضاف أبو عبيدة أن كتائب القسّام أدخلت خلال اليومين الماضيين قذائف الياسين التي استهدفت القوات المتحصنة بالبنايات.
وتابع أبو عبيدة ""وجهنا ضربات بصواريخ موجهة مضادة للدروع نحو الآليات العسكرية الإسرائيلية""، مؤكدا ""مجاهدونا يقاتلون في محاور تقدم العدو بشمال غرب مدينة غزة وجنوبها وبيت حانون"".
وقال الناطق باسم كتائب القسام إنهم يخوضون حربا غير متكافئة لكنها ستدرّس في العالم وسيخلدها التاريخ، مضيفا ""شعبنا يتعرض لإبادة ممنهجة من عدو أمن العقوبة من عالم تحكمه شريعة الغاب"".
وختم أبو عبيدة بأن ""الخراب الذي يزرعه العدو لن يحصد منه سوى الخيبة والهزيمة والعار.ما نشرناه جزء يسير من بطولات مجاهدينا ضد قوات العدو في الميدان"".



وفي وقت سابق اليوم السبت، أعلنت كتائب عز الدين القسام أنها قتلت 5 جنود إسرائيليين وأصابت آخرين في اشتباكات شمال غربي مدينةغزة.
وذكرت الكتائب -في بيان مقتضب عبر تليغرام- ""مجاهدو القسام يهاجمون قوة متحصنة في مبنى شمال غرب مدينة غزة، ويشتبكون معها بالأسلحة الرشاشة والقنابل، ويجهزون على 5 جنود ويصيبون آخرين"".
وأضافت القسّام أنها دمرت ""آليتين صهيونيتين"" متوغلتين جنوب تل الهوى بقذائف ""الياسين 105″، كما استهدفت دبابة إسرائيلية متوغلة جنوب غرب تل الهوى بصاروخ موجه من طراز ""كونكورس"".
وتابعت ""مجاهدو القسام يخوضون اشتباكات بمختلف الأسلحة مع قوة صهيونية في منطقة العطاطرة غرب بيت لاهيا""، مؤكدة أنها قصفت تجمعا للآليات الإسرائيلية المتوغلة شمال غرب بيت لاهيا وشرق جحر الديك في قطاع غزة بقذائف الهاون.









تابع الجزيرة نت على:",Real,,,,
3,30/11/2023,Aljazeera news,بلومبيرغ: تصاعد الدعم لحماس بالضفة يقوّض محاولة نتنياهو لسحقها,"قالت صحيفة بلومبيرغ إن احتفالات الفلسطينيين بإطلاق إسرائيل سراح الأسرى خارج بلدية رام الله يوم الجمعة الماضي، شهدت انتشار أعلامحركة حماسالخضراء بين الحشود وارتداء الشبان قبعات خضراء، مشيرة إلى أن ذلك هو أحدث علامة على تزايد شعبية الحركة فيالضفة الغربية.
وأضافت أن الدعم لحماس كان واضحا أيضا خارج مسجد عبد الناصر في رام الله قبل ساعات قليلة، عندما احتج مئات المصلين بعد صلاة الفجر ضد الحرب التي تشنها إسرائيل على غزة.
وذكرت الصحيفة أن تعهد رئيس الوزراءبنيامين نتنياهوبتدمير حماس بالكامل يبدو هدفا بعيد المنال، حيث يتخندق مقاتلو الحركة المدججون بالسلاح في أنفاق تمتد لمئات الأميال تحت غزة.
وأشارت الصحيفة إلى استمرار الهدنة التي تسمح بتبادل المحتجزين الإسرائيليين والأسرى الفلسطينيين لليوم السابع، والجهود الرامية لتمديدها حيث تتزايد الضغوط الدولية من أجل وقف دائم لإطلاق النار.
وتقول بلومبيرغ، إن المشكلة الكبرى التي يواجهها نتنياهو هي الدعم الذي تحظى به حماس في الضفة الغربية المحتلة، والتي تحكمهاالسلطة الفلسطينيةبقيادةمحمود عباس.
وتقول الصحيفة إن المقابلات مع عشرات الفلسطينيين تشير إلى أن الأحداث التي شهدتها الأسابيع الثمانية الماضية عززت مكانة حماس وأضعفت إدارة عباس ""الأكثر اعتدالا"" حسب تعبيرها.



وقال غسان الخطيب، وزير العمل الفلسطيني السابق والمحاضر في جامعة بيرزيت في القطاع للصحيفة إن ""حماس في الضفة الغربية أصبحت أكثر شعبية وأكثر أهمية وقوة، وفي المقابل السلطة الفلسطينية أصبحت أكثر تهميشا وأقل شعبية. لا يمكنك القضاء على حماس. وطالما لم تتم معالجة الجذر السياسي فإن جولات العنف هذه ستستمر"".
ووجد استطلاع نشرته هذا الشهر مجموعة العالم العربي للبحث والتطوير، وهي مجموعة استطلاعات رأي فلسطينية، أن 83% من 391 مشاركا في الضفة الغربية كانوا يؤيدون ما قامت به المقاومة الفلسطينية في قطاع غزة يوم 7 أكتوبر/تشرين الأول الماضي.
وقال خالد روديل، وهو مدرس في الضفة الغربية ""حماس تقف إلى جانبنا"".
يذكر أن إسرائيل سحبت قواتها من غزة وهدمت مستوطناتها هناك في عام 2005. وشهدت الانتخابات التشريعية الفلسطينية التي أجريت في العام التالي (2006) فوز حماس بالانتخابات التشريعية وتشكيلها حكومة برئاستها بعدما ما كانتحركة فتحالتابعة لمنظمة التحرير الفلسطينية، تهيمن على السلطة.
وفي عام 2007، سيطرت حماس على قطاع غزة بشكل كامل، وهي تحكم هناك منذ ذلك الحين.









تابع الجزيرة نت على:",Real,,,,
4,30/11/2023,Aljazeera news,"إسرائيل تتحدث عن إحباط عملية تهريب ""ضخمة"" للأسلحة عبر الأردن","قالت إذاعة الجيش الإسرائيلي اليوم الخميس إن الجيش أحبط ما وصفتها بعملية تهريب ضخمة للأسلحة عبر الحدود الأردنية، وكانت الأسلحة المهربة موجهة لـ""عناصر إجرامية "" في الداخل، بحسب السلطات الإسرائيلية.
وفي التفاصيل، قالت الشرطة الإسرائيلية في بيان إن الشحنة المضبوطة في أكياس كانت تحوي 137 قطعة سلاح بينها 120 مسدسا و17 بندقية ""إم 16"" و250 خرطوشة بقيمة 6 ملايين شيكل (1.6 مليون دولار تقريبا).
وأضافت الشرطة أنها أكبر عملية تهريب على الحدود الأردنية، وتحدثت عن اعتقال 4 مهربين من سكان يروحام في صحراء النقب.
وبحسب المصدر نفسه، فقد تم ضبط مركبتين رباعيتي الدفع كان يستخدمهما المهربون .
وقالت الشرطة الإسرائيلية إن إحباط عمليات التهريب ""حال دون وصول الأسلحة غير المشروعة إلى العناصر الإجرامية التي تضر بسلامة ورفاهية الجمهور"".
ونشرت صحيفة ""تايمز أوف إسرائيل"" صورة لضباط من الشرطة الإسرائيلية عقب ضبط الأسلحة، ويعود تاريخ العملية بحسب الصورة إلى 23 نوفمبر/تشرين الثاني.
وفي أبريل/نيسان الماضي، أعلن الجيش الإٍسرائيلي إحباط محاولة تهريب أسلحة من الأردن، وتحدث عن اعتقال 3 أشخاص كانوا يستقلون سيارة قدمت من الأردن في منطقة الأغوار، مشيرا إلى ضبط حقائب بداخلها عشرات من قطع سلاح مختلفة ونحو 100 كيلوغرام من الذهب.
وفي الإطار، أوقفت قوات الاحتلال البرلماني الأردني عماد العدوان بزعم تهريب كميات من السلاح والذهب قبل أن تسلمه لاحقا لبلاده.









تابع الجزيرة نت على:",Real,,,N of Real news,346.0
5,30/11/2023,Aljazeera news,بيانات ملاحية: أكثر من 160 رحلة عسكرية جوية من دول الناتو لإسرائيل,"أظهر تحليل بيانات ملاحية قيام عدد من دول حلف شمال الأطلسي (الناتو) بأكثر من 160 رحلة عسكرية لإسرائيل في الفترة ما بين 7 أكتوبر/تشرين الأول و27 نوفمبر/تشرين الثاني ما بين رحلات نقل واستطلاع وتزود بالوقود.
وتظهر البيانات -التي حصلت عليها وكالة سند في شبكة الجزيرة من موقع ""رادار بوكس""- أن الطائرات التابعة للقوات الجوية الأميركية قامت بما يزيد على 35 رحلة، والقوات الجوية الكندية والبريطانية والبولندية قرابة 20 رحلة لكل منها، والألمانية بما يزيد على 15 رحلة.
كما شاركت في الرحلات التي وصلت لإسرائيل القوات الجوية للتشيك وفرنسا والدانمارك وإيطاليا وليتوانيا وإسبانيا وهولندا وأستراليا وبلجيكا ورومانيا والنرويج، ليصبح نصف دول الأعضاء في الناتو مشاركين في الرحلات التي وصلت إلى إسرائيل خلال هذه الفترة، بالإضافة لـ 7 رحلات لطائرات تابعة لحلف الناتو نفسه.
وتصدرت المطارات والقواعد العسكرية الواقعة في اليونان وقبرص الأكثر استخداما في هذه الرحلات، حيث أصبحت بمثابة قاعدة متقدمة لدعم إسرائيل تليها ألمانيا وإيطاليا.
وتصدرت القاعدة الجوية البريطانية في جزيرة قبرص أكثر المطارات التي أقلعت منها هذه الرحلات، يليها مطار اليونان الدولي ومطار خانيا الدولي بجزيرة كريت.
كما كان مطار كولونيا بون الدولي الألماني أحد أكثر المطارات المستخدمة بالإضافة لقاعدة رامشتاين الجوية الأميركية بألمانيا.
واستخدمت أيضا قاعدة براتيكا دي ماري التابعة للقوات الجوية الإيطالية جنوب غرب روما، وعدد من المطارات والقواعد الجوية الأخرى.
ويظهر هذا التحليل فقط الرحلات العسكرية في البيانات الملاحية في موقع ""رادار بوكس""، حيث يتوقع أن يكون عدد الرحلات الحقيقي يتجاوز الأرقام المرصودة، إذ تستخدم بعض الطائرات العسكرية أساليب أكثر تعقيدا لمنع تتبع الرادار لها.









تابع الجزيرة نت على:",Real,,,N of Fake news,263.0
6,3/11/2023,Aljazeera news,9 شهداء بالضفة والاحتلال يشن حملة اعتقالات,"استشهد 9 فلسطينيين في مواجهات اندلعت مع قوات الاحتلال الإسرائيلي في مناطق مختلفة منالضفة الغربيةالليلة الماضية وفجر اليوم الجمعة، وفق مراسل الجزيرة.
ففي مخيم جنين، قتلت قوات الاحتلال 5 شبان خلال القصف والاقتحام لمدينةجنينومخيمها، وأفاد المراسل بأن اثنين من الشهداء سقطا بصاروخ أطلقته مسيّرة إسرائيلية على مجموعة من المقاومين الفلسطينيين في مخيم جنين، في حين استشهد الثلاثة الآخرون بنيران قوات الاحتلال خلال المواجهات.


وأفادت وزارة الصحة الفلسطينية باستشهاد 7 برصاص الاحتلال الإسرائيلي فجر وصباح اليوم الجمعة، بينهم 3 في جنين، واثنان في الخليل، وواحد في نابلس، وآخر في قلنديا.
وكانت وزارة الصحة الفلسطينية قد أكدت -مساء أمس الخميس- استشهاد شابين فلسطينيين برصاص الجيش الإسرائيلي خلال اقتحامه مدينة جنين ومخيمها، مشيرة إلى أن 4 أشخاص أصيبوا أيضا في جنين، أحدهم إصابته خطيرة في البطن، وآخر إصابته متوسطة في الحوض.
انسحاب قوات الاحتلال من ضاحية شويكة في محافظة#طولكرمبعد شنها حملة#اعتقالات.pic.twitter.com/QkUVzfMPaV
— القسطل الاخباري | القدس (@AlQastalps)November 3, 2023

من جانب آخر، أعلن نادي الأسير الفلسطيني اليوم الجمعة أن قوات الاحتلال اعتقلت الليلة الماضية 50 فلسطينيا من مناطق مختلفة بالضفة الغربية المحتلة، ووثّقت منصات إخبارية فلسطينية اليوم مشاهد من تلك الاعتقالات التي شملت مناطق متفرقة، بينها بلدة ترمسعيا بقضاء رام الله، ومخيم قلنديا شمال القدس المحتلة.
كما وثّق ناشطون مشاهد لانسحاب قوات الاحتلال الإسرائيلي من مدينةطولكرمعقب اعتقالها 5 شبان من ضاحية شويكة شمالي المدينة، ومشاهد أخرى لاندلاع مواجهات مع القوات الإسرائيلية بمخيم الفوارة جنوب الخليل.
وتصعد قوات الاحتلال حملاتها بالضفة الغربية منذ أيام تزامنا مع قصفها الجوي والمدفعي المستمر علىقطاع غزةمنذ 28 يوما في ظل استمرار عملية ""طوفان الأقصى""، التي أطلقتها فصائل المقاومة الفلسطينية فجر السابع من أكتوبر/تشرين الأول الماضي ردا على اعتداءات الاحتلال الإسرائيلي والمستوطنين على الشعب الفلسطيني ومقدساته.









تابع الجزيرة نت على:",Real,,,All news,609.0
7,25/11/2023,Aljazeera news,الحرب على غزة مباشر.. بوادر اتفاق لإطلاق الدفعة الثانية من الأسرى بجهود قطرية مصرية,"قال المتحدث باسم الخارجية القطرية، إنه سيُفرج الليلة عن 39 من الفلسطينيين في مقابل خروج 13 محتجزا إسرائيليا و7 أجانب. وأضاف أنه بعد التأخر في تنفيذ الإفراج عن الأسرى، ذُلّلت العقبات عبر اتصالات قطرية ومصرية.
تابع الجزيرة نت على:",Real,,,,
8,19/11/2023,Aljazeera news,تشكيك إسرائيلي بقتل المقاومة لرواد حفل غلاف غزة.. كيف علق النشطاء؟,"عقب 43 يومًا من ترديد الرواية التي تتهم المقاومة الفلسطينية بقتل المدنيين، حدثت الصدمة في إسرائيل بعد أن توصلت شرطتها لمعلومات مغايرة تفيد بأن مروحية عسكرية إسرائيلية فتحت النار على إسرائيليين في الحفل الموسيقى الذي كان يقام في غلاف غزة بالتزامن مع عمليةطوفان الأقصىفي 7 أكتوبر/تشرين الأول الماضي.
وذكرت صحيفة هآرتس الإسرائيلية أن التحقيقات الأولية للشرطة الإسرائيلية تشير إلى أن المسلحين الذين شاركوا في هجوم السابع من أكتوبر/تشرين الأول الماضي لم يعرفوا مسبقا بوجود الحفل الموسيقي قرب مستوطنة ريعيم.
وأثارت المعلومات التي كشفتها الشرطة الإسرائيلية جدلا واسعا على مواقع التواصل الاجتماعي، نقلت بعضها حلقة (2023/11/19) من برنامج ""شبكات"".
وبالنسبة إلى محمد أمين، فإن ما كشفه التحقيق الإسرائيلي ينسف ذريعة الحرب على المدنيين فيقطاع غزة، مؤكدا أن ما قامت به حركة المقاومة الإسلامية (حماس) ""كان عملية عسكرية دقيقة ضد أهداف عسكرية محددة لدولة محتلة.. والمقاومة المسلحة ضد المحتل حق مشروع"".
وكتب جمال في تعليقه أن الإسرائيليين ألصقوا في البداية ما حصل في الحفل الموسيقي للمقاومة الفلسطينية لتبرير حملتهم المسعورة على غزة، أما الآن فيقولون ذلك لإيجاد مخرج من الحرب التي أنهكتهم.
ووجّه علاء الحداد كلامه للرئيس الأميركيجو بايدنقائلا له ""إلى بايدن صاحب فكرة دعم الكيان في الحرب بسبب قتل المدنيين.. إليك الآن.. لقد قُتلوا بطائرة الكيان المحتل"".
وأوردت حلقة برنامج ""شبكات"" تغريدات بعض الإسرائيليين على مواقع التواصل، من بينهم شخص يدعى جلعاد روبين الذي كتب ""حتى يخرج توضيح حول الشبهات والأرقام، فليس من المنطقي أن يخرج مثل هذا التقرير كي يحتفل به كل كارهينا. هذا بصق حقيقي في وجه عائلات كل من قُتل على يد حماس"".
أما إيلي السرفاتي فعلق على تقرير الشرطة الإسرائيلية بالقول ""شكرا جزيلا لكم أيها المناهضون للصهيونية (هآرتس)، كارهو الوطن. سهلتم الأمر على الإرهابيين. لقد آذيتم بلدا بأكمله بهذا التقرير"".
وبحسب صحيفة هآرتس، فإنه عندما علم الجيش الإسرائيلي بالهجوم السابع من أكتوبر/تشرين الأول الماضي أرسل مروحية مقاتلة انطلقت من قاعدة ""رامات ديفيد"" في شمال إسرائيل، واتجهت إلى غلاف غزة.
وأضافت أن هذه المروحية فتحت النار عشوائيًا على كل من يمشي على الأرض، وكانت تقصد قتل أفراد حركة حماس، لكنهم قتلوا الإسرائيليين أيضا ومن دون تمييز، وفقًا لصحيفة هآرتس.
من جهتها، ذكرت صحيفة يديعوت أحرونوت أنه في السابع من أكتوبر/تشرين الأول الماضي: أقلعت 28 مروحية عسكرية إسرائيلية من قاعدة ""رامات ديفيد"" وأفرغت كامل ذخيرتها على أشخاص داخل مستوطنات غلاف غزة، بعد أن واجهت صعوبة كبيرة في التمييز بين المهاجمين الفلسطينيين والجنود أو المدنيين.
وذكر أن شرطة الاحتلال الإسرائيلي أعلنت سقوط أكثر من 364 من المشاركين في الحفل الموسيقي.









تابع الجزيرة نت على:",Real,,,,
9,25/11/2023,Aljazeera news,الحرب على غزة مباشر.. بوادر اتفاق لإطلاق الدفعة الثانية من الأسرى بجهود قطرية مصرية,"قال المتحدث باسم الخارجية القطرية، إنه سيُفرج الليلة عن 39 من الفلسطينيين في مقابل خروج 13 محتجزا إسرائيليا و7 أجانب. وأضاف أنه بعد التأخر في تنفيذ الإفراج عن الأسرى، ذُلّلت العقبات عبر اتصالات قطرية ومصرية.
تابع الجزيرة نت على:",Real,,,,
10,28/11/2023,Aljazeera news,الصحة العالمية تحذر من خطر يهدد سكان غزة أكثر من القصف,"قالت متحدثة باسممنظمة الصحة العالميةمارغريت هاريس اليوم الثلاثاء إن عددا أكبر من سكانغزةمعرضون للموت بسبب الأمراض مقارنة بالقصف وذلك إذا لم يتم دعم النظام الصحي في القطاع ليعود لطبيعته بسرعة.
وذكرت المتحدثة مارغريت هاريس ""في نهاية المطاف، سنرى عددا أكبر من الناس يموتون بسبب الأمراض مقارنة بالقصف إذا لم نتمكن من إعادة بناء هذا النظام الصحي"".
ووصفت الانهيار الذي شهده مستشفى الشفاء في شمال غزة بأنه ""مأساة"" وعبرت عن قلقها إزاء احتجاز القوات الإسرائيلية بعض طواقمه الطبية.
وقالت المتحدثة إن المنظمة العالمية ""قلقة جدا"" بشأن موظفي المستشفى المحتجزين في غزة، ويجب احترام حيادهم ككوادر طبية.
وفي 14 نوفمبر/تشرين الثاني الجاري اقتحم الجيش الإسرائيليمستشفى الشفاء-وهو أكبر مجمع طبي في قطاع غزة- بعد حصاره لعدة أيام وقصف مرافقه من بينها مولدات الكهرباء وغرف للعمليات.
وبعدها اختطف جيش الاحتلال مدير المستشفى محمد أبو سلمية و5 من الكوادر الطبية أثناء نقل جرحى من المرفق الصحي، ووجهت اتهامات لمنظمة الصحة العالمية بالتورط في اختطافهم، بيد أنها نفت امتلاكها أي معلومة عن مصيرهم.



وأعلنت وزارة الصحة في غزة بعدها إيقاف التنسيق مع منظمة الصحة العالمية في عمليات إجلاء المرضى والكوادر الطبية من المستشفيات في القطاع عقب احتجاز الجيش الإسرائيلي موظفيها الصحيين، ومن بينهم مدير مستشفى الشفاء.
وكان مصير مستشفى الشفاء مشابها لمصير معظم مستشفيات شمال القطاع التي خرجت عن الخدمة بشكل كلي أو جزئي نتيجة الحصار والقصف الإسرائيلي عليها.
وقبل دخول هدنة إنسانية مؤقتة الجمعة الماضي، شن الجيش الإسرائيلي حربا مدمرة على غزة منذ السابع من أكتوبر/تشرين الأول الماضي خلّفت أكثر من 15 ألف شهيد بينهم أكثر من 10 آلاف طفل وامرأة، في حين لا يزال نحو 7 آلاف شخص في عداد المفقودين، كما تجاوز عدد المصابين 36 ألفا.
وحذرت منظمات صحية من تفشي الأمراض المعدية والأوبئة في غزة نتيجة تحلل الجثث المتبقية تحت الأنقاض وكذلك انقطاع المياه عن القطاع بشكل كامل منذ بدء العدوان الإسرائيلي.









تابع الجزيرة نت على:",Real,,,,
