Id,date,platform,News content,title,Label
0,2024-05-10 13:53:17,AJPalestine,عاجل مراسل شهداء و جرحى في غارة إسرائيلية استهدفت منزلا بالمخيم الجديد في النصيرات وسط قطاع غزة,عاجل مراسل شهداء و جرحى في غارة إسرائيلية استهدفت منزلا بالمخيم الجديد في النصيرات وسط قطاع غزة,Real
1,2024-05-12 00:42:17,AJPalestine,مراسل الجزيرة قصف متواصل على مناطق عدة شمال قطاع غزة,مراسل الجزيرة قصف متواصل على مناطق عدة شمال قطاع غزة,Real
2,2024-05-07 20:29:50,AJPalestine,طلاب جامعة لوزان السويسرية يهتفون لفلسطين,طلاب جامعة لوزان السويسرية يهتفون لفلسطين,Real
3,2024-05-10 23:39:57,AJPalestine,عاجل مراسل استشهاد الصحفي بهاء عكاشة وزوجته وابنه في قصف إسرائيلي استهدف منزلهم بمخيم جباليا شمالي القطاع,عاجل مراسل استشهاد الصحفي بهاء عكاشة وزوجته وابنه في قصف إسرائيلي استهدف منزلهم بمخيم جباليا شمالي القطاع,Real
4,2024-05-22 18:01:34,AJPalestine,فلسطين ستعيش للأبد طلاب يابانيون يطالبون بقطع العلاقات الأكاديمية مع إسرائيل,فلسطين ستعيش للأبد طلاب يابانيون يطالبون بقطع العلاقات الأكاديمية مع إسرائيل,Real
5,2024-05-03 06:45:28,AJPalestine,مشاهد لاقتحام جيش الاحتلال بلدة جبع في جنين بالضفة الغربية,مشاهد لاقتحام جيش الاحتلال بلدة جبع في جنين بالضفة الغربية,Real
6,2024-05-03 14:45:18,AJPalestine,مظاهرة قرب وزارة الدفاع الإسرائيلية في تل أبيب للمطالبة بإتمام صفقة تبادل لإعادة الأسرى الإسرائيليين لدى الفصائل الفلسطينية في قطاع,مظاهرة قرب وزارة الدفاع الإسرائيلية في تل أبيب للمطالبة بإتمام صفقة تبادل لإعادة الأسرى الإسرائيليين لدى الفصائل الفلسطينية في قطاع,Real
7,2024-05-03 04:31:49,AJPalestine,ساعدوني أسافر مناشدة فتاة فلسطينية لمساعدتها بتلقي العلاج في الخارج عقب فقدانها عينها وقدمها جراء عدوان الاحتلال على,مناشدة فتاة فلسطينية لمساعدتها بتلقي العلاج في الخارج عقب فقدانها عينها وقدمها جراء عدوان الاحتلال على,Real
8,2024-05-13 21:02:13,AJPalestine,الأمم المتحدة تغضب إسرائيل قرار يدعم أهلية فلسطين بالعضوية الكاملة,قرار يدعم أهلية فلسطين بالعضوية الكاملة,Real
9,2024-05-07 12:29:29,AJPalestine,طلاب يرددون النشيد الوطني الفلسطيني قبل الدخول إلى غرفة صفية للدراسة بشمال لأول مرة منذ بداية الحرب,طلاب يرددون النشيد الوطني الفلسطيني قبل الدخول إلى غرفة صفية للدراسة بشمال لأول مرة منذ بداية الحرب,Real
10,2024-05-27 17:31:01,AJPalestine,الشهداء مرميون والأطفال تصرخ شهادة ناجية من مجزرة الخيام غربي مدينة رفح جنوبي قطاع غزة,شهادة ناجية من مجزرة الخيام غربي مدينة رفح جنوبي قطاع غزة,Real
11,2024-05-09 11:32:12,AJPalestine,دمار كبير خلفه تفجير الاحتلال الإسرائيلي لمنزل منفذ عملية كريات ملاخي فادي جمجوم في مخيم شعفاط شمال شرقي المحتلة,دمار كبير خلفه تفجير الاحتلال الإسرائيلي لمنزل منفذ عملية كريات ملاخي فادي جمجوم في مخيم شعفاط شمال شرقي المحتلة,Real
12,2024-05-27 14:45:14,AJPalestine,نازحون فلسطينيون يغادرون منطقة مواصي رفح بعد مجزرة إسرائيلية مروعة,نازحون فلسطينيون يغادرون منطقة مواصي رفح بعد مجزرة إسرائيلية مروعة,Real
13,2024-05-12 15:42:14,AJPalestine,عاجل الجيش الإسرائيلي إصابة جنديا إسرائيليا خلال الـ ساعة الماضية في قطاع غزة,عاجل الجيش الإسرائيلي إصابة جنديا إسرائيليا خلال الـ ساعة الماضية في قطاع غزة,Real
14,2024-05-03 11:31:31,AJPalestine,عاجل وزارة الصحة في غزة ارتفاع عدد ضحايا العدوان الإسرائيلي على القطاع إلى شهيدا و مصابا منذ أكتوبر الاحتلال ارتكب مجازر في القطاع راح ضحيتها شهيدا و مصابا خلال ساعة,الاحتلال ارتكب مجازر في القطاع راح ضحيتها شهيدا و مصابا خلال ساعة,Real
15,2024-05-22 14:38:10,AJPalestine,عاجل مشاهد حصرية حصلت عليها ترصد استخدام الجيش الإسرائيلي روبوتات مفخخة خلال اقتحامها مخيم جباليا,عاجل مشاهد حصرية حصلت عليها ترصد استخدام الجيش الإسرائيلي روبوتات مفخخة خلال اقتحامها مخيم جباليا,Real
16,2024-05-11 08:51:14,AJPalestine,عاجل سرايا القدس فجرنا عبوتين في عدد من آليات العدو المتوغلة بشارع في حي الزيتون جنوب مدينة غزة,عاجل سرايا القدس فجرنا عبوتين في عدد من آليات العدو المتوغلة بشارع في حي الزيتون جنوب مدينة غزة,Real
17,2024-05-06 22:31:40,AJPalestine,جامعة أمستردام الهولندية تنضم للحراك الطلابي العالمي المناصر لقطاع غزة في مواجهة العدوان الإسرائيلي,جامعة أمستردام الهولندية تنضم للحراك الطلابي العالمي المناصر لقطاع غزة في مواجهة العدوان الإسرائيلي,Real
18,2024-05-25 21:31:01,AJPalestine,مراسل الجزيرة حالة ترقب فلسطيني لكلمة الناطق الرسمي باسم القسام,مراسل الجزيرة حالة ترقب فلسطيني لكلمة الناطق الرسمي باسم القسام,Real
19,2024-05-20 19:00:37,AJPalestine,شرطة مدينة نيويورك الأمريكية تزيل مكبر صوت في شقة يذيع هتافات داعمة لقطاع غزة,شرطة مدينة نيويورك الأمريكية تزيل مكبر صوت في شقة يذيع هتافات داعمة لقطاع غزة,Real
20,2024-05-13 10:23:19,AJPalestine,مشاهد من اعتراض إسرائيليين شاحنات مساعدات متجهة إلى غزة عبر الخليل,مشاهد من اعتراض إسرائيليين شاحنات مساعدات متجهة إلى غزة عبر الخليل,Real
21,2024-05-03 18:37:50,AJPalestine,عاجل أكسيوس عن مسؤولين أمريكيين بايدن يشارك شخصيا في جهود مكثفة للتوصل إلى صفقة بشأن الرهائن ووقف إطلاق النار بغزة بايدن يعتبر التوصل إلى صفقة عنصرا حاسما ضمن استراتيجية أوسع داخليا وخارجيا,بايدن يشارك شخصيا في جهود مكثفة للتوصل إلى صفقة بشأن الرهائن ووقف إطلاق النار بغزة,Real
22,2024-05-25 07:15:22,AJPalestine,صور أقمار صناعية توثق تكدس النازحين في خان يونس بعد التهجير من رفح جنوبي قطاع غزة,صور أقمار صناعية توثق تكدس النازحين في خان يونس بعد التهجير من رفح جنوبي قطاع غزة,Real
23,2024-05-10 13:39:09,AJPalestine,عاجل مراسل الشرطة الأمريكية تقتحم مخيما مؤيدا للفلسطينيين بمعهد ماساتشوستس للتكنولوجيا وتعتقل متظاهرين,عاجل مراسل الشرطة الأمريكية تقتحم مخيما مؤيدا للفلسطينيين بمعهد ماساتشوستس للتكنولوجيا وتعتقل متظاهرين,Real
24,2024-05-20 21:23:58,AJPalestine,عاجل مراسل قوات الاحتلال تشن حملة دهم واعتقالات في بلدة سنجل شمال رام الله بالضفة الغربية,عاجل مراسل قوات الاحتلال تشن حملة دهم واعتقالات في بلدة سنجل شمال رام الله بالضفة الغربية,Real
25,2024-05-29 21:48:19,AJPalestine,عاجل أفب عن الجيش الإسرائيلي مقتل إسرائيليين في عملية دهس بالضفة الغربية,ب عن الجيش الإسرائيلي مقتل إسرائيليين في عملية دهس بالضفة الغربية,Real
26,2024-05-04 01:02:16,AJPalestine,عاجل مراسل قناصة الاحتلال تطلق أعيرة نارية تجاه مواطنين فلسطينيين في بلدة دير الغصون شمال طولكرم,عاجل مراسل قناصة الاحتلال تطلق أعيرة نارية تجاه مواطنين فلسطينيين في بلدة دير الغصون شمال طولكرم,Real
27,2024-05-29 22:43:51,AJPalestine,مراسل الجزيرة يرصد توترات تشهدها مظاهرة داعمة لغزة في باريس,مراسل الجزيرة يرصد توترات تشهدها مظاهرة داعمة لغزة في باريس,Real
28,2024-05-24 11:56:58,AJPalestine,طلبة جامعة كاليفورنيا الأمريكية ينظمون اعتصامًا جديدًا تضامنًا مع غزة,طلبة جامعة كاليفورنيا الأمريكية ينظمون اعتصامًا جديدًا تضامنًا مع غزة,Real
29,2024-05-12 12:30:45,AJPalestine,حركة نزوح كثيفة من مخيم جباليا بعد توغل الآليات الإسرائيلية,حركة نزوح كثيفة من مخيم جباليا بعد توغل الآليات الإسرائيلية,Real
30,2024-05-12 03:45:58,AJPalestine,مظاهرة حاشدة في مدينة نيويورك الأمريكية إحياء للذكرى الـ للنكبة الفلسطينية تقرير بيسان أبو كويك,مظاهرة حاشدة في مدينة نيويورك الأمريكية إحياء للذكرى الـ للنكبة الفلسطينية تقرير بيسان أبو كويك,Real
31,2024-05-01 06:41:41,AJPalestine,عاجل مراسل استشهاد شاب فلسطيني إثر قصف مدفعي استهدف منزلا في حي التنور شرقي,عاجل مراسل استشهاد شاب فلسطيني إثر قصف مدفعي استهدف منزلا في حي التنور شرقي,Real
32,2024-05-11 13:34:16,AJPalestine,المصور الفلسطيني يوسف أبو القمصان ينشر مقطعًا عبر حسابه على فيسبوك يوثق استشهاد شقيقه في غارة إسرائيلية أمس على مخيم النصيرات وسط قطاع,المصور الفلسطيني يوسف أبو القمصان ينشر مقطعًا عبر حسابه على فيسبوك يوثق استشهاد شقيقه في غارة إسرائيلية أمس على مخيم النصيرات وسط قطاع,Real
33,2024-05-26 17:21:51,AJPalestine,عاجل الجيش الإسرائيلي مقتل جندي ثان خلال المعارك الدائرة شمال قطاع غزة اليوم,عاجل الجيش الإسرائيلي مقتل جندي ثان خلال المعارك الدائرة شمال قطاع غزة اليوم,Real
34,2024-05-23 21:09:45,AJPalestine,عاجل الهلال الأحمر الفلسطيني إصابة سيدة فلسطينية بشظايا رصاص أطلقه جنود الاحتلال في قرية قفين شمال طولكرم,عاجل الهلال الأحمر الفلسطيني إصابة سيدة فلسطينية بشظايا رصاص أطلقه جنود الاحتلال في قرية قفين شمال طولكرم,Real
35,2024-05-04 01:01:28,AJPalestine,تجدد الاشتباكات بين فلسطينيين وقوات الاحتلال الإسرائيلي في قرية دير الغصون شمال طولكرم بالضفة الغربية,تجدد الاشتباكات بين فلسطينيين وقوات الاحتلال الإسرائيلي في قرية دير الغصون شمال طولكرم بالضفة الغربية,Real
36,2024-05-12 08:19:33,AJPalestine,قوات الاحتلال تحاصر مراكز إيواء النازحين في جباليا شمال,قوات الاحتلال تحاصر مراكز إيواء النازحين في جباليا شمال,Real
37,2024-05-10 17:45:34,AJPalestine,عاجل مفوض الأمم المتحدة لحقوق الإنسان أشجب جميع الأعمال العدائية التي تهدد دخول وتوزيع المساعدات التي تحتاجها غزة,عاجل مفوض الأمم المتحدة لحقوق الإنسان أشجب جميع الأعمال العدائية التي تهدد دخول وتوزيع المساعدات التي تحتاجها غزة,Real
38,2024-05-18 11:26:21,AJPalestine,عاجل كتائب القسام دمرنا دبابة صهيونية من نوع ميركافا بقذيفة الياسين شرق مخيم جباليا شمالي قطاع غزة,عاجل كتائب القسام دمرنا دبابة صهيونية من نوع ميركافا بقذيفة الياسين شرق مخيم جباليا شمالي قطاع غزة,Real
39,2024-05-14 21:10:13,AJPalestine,الباحث بمعهد الشرق الأوسط حسن منيمنة خطة نتنياهو واضحة وهي استمهال العالم أشهرا قليلة بمساهمة أمريكية لحين بدء الانتخابات الرئاسية في الولايات المتحدة، ليتمكن بعدها من الاستيلاء على قطاع غزة بعد أن جعل أسباب الحياة فيه منعدمة,الباحث بمعهد الشرق الأوسط حسن منيمنة خطة نتنياهو واضحة وهي استمهال العالم أشهرا قليلة بمساهمة أمريكية لحين بدء الانتخابات الرئاسية في الولايات المتحدة، ليتمكن بعدها من الاستيلاء على قطاع غزة بعد أن جعل أسباب الحياة فيه منعدمة,Real
40,2024-05-02 12:06:29,AJPalestine,مراسل الجزيرة الشرطة تزيل الحاجز الخشبي وتقتحم مخيم الاعتصام في جامعة كاليفورنيا,مراسل الجزيرة الشرطة تزيل الحاجز الخشبي وتقتحم مخيم الاعتصام في جامعة كاليفورنيا,Real
