Id,date,platform,title,News content,Label
2924,2024-07-19 15:06:38,AJPalestine,الرئاسة الفلسطينية ترحب ب,الرئاسة الفلسطينية ترحب بقرار محكمة العدل الدولية وتعتبره قراراً تاريخياً وتطالب بإلزام اسرائيل بتنفيذه,Real
2047,2024-07-13 15:44:33,AJPalestine,نازحون يتفقدون الدمار الذي,"نازحون يتفقدون الدمار الذي لحق بخيامهم  عقب المجزرة التي ارتكبها الاحتلال بمنطقة المواصي غرب خانيونس 
#حرب_غزة #ألبوم",Real
4040,2024-07-26 15:17:00,AJPalestine,مراسل # الجزيرة :,عاجل | مراسل #الجزيرة: مصابون بنيران قوات الاحتلال الإسرائيلي قرب دوار الخربة شمالي مدينة #رفح,Real
3933,2024-07-25 20:57:22,AJPalestine,مصادر : نتنياهو أبلغ,عاجل | أكسيوس عن مصادر: نتنياهو أبلغ عائلات الرهائن أن إسرائيل ستقدم لحماس مقترحا محدثا لوقف إطلاق النار خلال يومين,Real
4967,2024-07-31 18:48:24,AJPalestine,مشاهد من استهداف جنود,"""سـ.ـرايا القـ.ـدس"" تنشر مشاهد من استهداف جنود وآليات الاحتلال في منطقة القرارة شمال شرق مدينة خان يونس
#فيديو #حرب_غزة",Real
3599,2024-07-24 00:34:35,AJPalestine,قراءة عسكرية . .,"قراءة عسكرية.. كيف تبدو استراتيجية جيش الاحتلال في رفح بعد 77 يوما على بدء العمليات فيها؟
#الأخبار",Real
29,2023-07-08 14:47:00,tibianps,توريد سيارات من مصر إلى قطاع غزة,سيتم خلال الآيام القادمة توريد سيارات من مصر إلى قطاع غزة عبر معير رفح البـري بعد اتفاق فلسطيني مصري بشأنها,Fake
4880,2024-07-31 08:54:48,AJPalestine,"حماس "" : ""","عاجل | ""حماس"": ""جريمة الاحتلال باغتيال القائد هنية على الأراضي الإيرانية عمل إرهابي مكتمل الأركان وانتهاك لسيادة #إيران""",Real
2800,2024-07-18 18:24:19,AJPalestine,مراسل # الجزيرة :,عاجل | مراسل #الجزيرة: غارة إسرائيلية تستهدف مدخل مخيم البريج وسط قطاع غزة,Real
3394,2024-07-22 17:44:35,AJPalestine,نشرة إيجاز - الاحتلال,"نشرة إيجاز - الاحتلال يعلن بدء عملية برية شرقي خان يونس
#الاخبار #حرب_غزة",Real
