Id,date,platform,title,News content,Label
1,2024-08-23,AJPalestine,اشتباكات في نابلس واقتحامات واعتقالات جديدة بالضفة,"اندلعت اشتباكات صباح اليوم الجمعة في نابلس بين مقاومين وقوات الاحتلال الإسرائيلي التي نفذت مزيدا من الاقتحامات والاعتقالات فيالضفة الغربية. ودارت اشتباكات مسلحة بين مقاومين وقوات الاحتلال عقب اقتحامها عددا من أحياء البلدة القديمة في نابلس بشمال الضفة. ودفعت القوات المقتحمة بآليات عسكرية من حاجز بيت فوريك شرقي المدينة وحاجز ديرشرف غربها، ومن حاجز الطور، قبل أن تنسحب بعد ساعات من بدء الاقتحام. وقالت مصادر فلسطينية إن مقاومين فجروا عبوة ناسفة في آليات إسرائيلية أثناء سيرها في شوارع البلدة القديمة. #عاجل.. اشتباكات عنيفة خلال اقتحام قوات الاحتلال للبلدة القديمة في نابلس.pic.twitter.com/LWzbIbOQoU — المركز الفلسطيني للإعلام (@PalinfoAr)August 23, 2024 من جهته، قال الهلال الأحمر الفلسطيني إن شابا أصيب برصاص قوات الاحتلال خلال اقتحامها مدينة نابلس. وفي شمال الضفة أيضا، اقتحمت قوات إسرائيلية قبيل ظهر اليوم المنطقة الصناعية في جنين، وبث ناشطون عبر منصات التواصل الاجتماعي صورا لآليات إسرائيلية تتحرك في محيط المدينة. وفجر اليوم والليلة الماضية اقتحم الجيش الإسرائيلي عددا من المدن والبلدات من شمال الضفة إلى جنوبها، واعتقل عددا من الفلسطينيين. ونفذت قوة إسرائيلية اعتقالات خلال اقتحامها بلدة جبع جنوبي جنين. كما اعتقل الجيش الإسرائيلي شابين خلال اقتحامه بلدة العيساوية فيالقدس المحتلةفجر اليوم. وشملت الاقتحامات أيضا بلدة كفر عقب في شمال القدس المحتلة، وأفادت مصادر فلسطينية باندلاع مواجهات عنيفة بين فلسطينيين وقوات الاحتلال خلال انسحابها من البلدة. كما اقتحمت قوة إسرائيلية مخيم قلنديا شمال القدس المحتلة، بحسب مصادر فلسطينية. وفي جنوب الضفة، توغلت قوات الاحتلال في مدينة الخليل وفي بلدة ترقوميا غربها. وقالت المصادر الفلسطينية إن قوات الاحتلال اقتحمت كذلك بلدة دير قديس قرب رام الله في وسط الضفة. وفي وقت سابق، نشرتكتائب القسام-الجناح العسكري لحركة المقاومة الإسلامية (حماس)- مشاهد لتفجير مقاتليها عبوة ناسفة من نوع ""السنقور"" في جرافة لقوات الاحتلال في مخيم طولكرم. وتظهر المشاهد تصدّي مقاتلي القسام لتوغل قوات الاحتلال في المخيم. وكان الجيش الإسرائيلي قد قال إن قواته نفذت عملية عسكرية استمرت 14 ساعة لإزالة ما وصفها بالتهديدات الإرهابية في مخيم طولكرم. وأضاف الجيش أن طائرة لسلاح الجو نفذت غا...",Real
2,2024-08-01,AJPalestine,المقاومة تعلن قتل جنود والاحتلال يقصف مدرسة تؤوي نازحين بغزة,"أعلنت المقاومة الفلسطينية أنها قتلت، اليوم الخميس، جنودا إسرائيليين في حي تل الهوى بمدينةغزةوفيرفحجنوب القطاع، في حين ارتكب الجيش الإسرائيلي مجزرة جديدة بمدرسة تؤوي نازحين في حيالشجاعية. فقد أعلنتكتائب القسام، الجناح العسكري لحركة المقاومة الإسلامية (حماس)، في بيان لها عبر تطبيق تليغرام، أنها استهدفت قوة إسرائيلية راجلة قرب تجمع للآليات، وأوقعتها بين قتيل وجريح في محيط الكلية الجامعية فيحي تل الهوىجنوب غرب مدينة غزة. وفي بيان منفصل، قالت القسام إن مقاتليها استهدفوا قوة إسرائيلية متحصنة داخل بنايتين واشتبكوا معها بالأسلحة الرشاشة في حي تل الهوى أيضا. من جهتها، أعلنتسرايا القدس، الجناح العسكري لحركةالجهاد الإسلاميأنها قصفت اليوم بعبوات أبابيل وقذائف الهاون آليات الجيش الإسرائيلي وجنوده المتمركزين جنوب حي تل الهوى بمدينة غزة. وفي الحي نفسه، أكدت السرايا أن مقاتليها فجروا منزلا مفخخا أعدوه مسبقا بقوة إسرائيلية راجلة. كما قالت سرايا القدس إنها اشتبكت وكتائب القسام مع قوة إسرائيلية في مخيم الشابورة برفح، وأوقعتا أفرادها بين قتيل وجريح. وكانت قوات الاحتلال الإسرائيلي توغلت أول مرة في حي تل الهوى مطلع يوليو/تموز الماضي، ثم انسحبت جزئيا من المنطقة قبل أن تعود إليها، وخلال توغلها المستمر هناك تعرضت لخسائر جراء عمليات عديدة للمقاومة. كما تشهد رفح معارك عنيفة منذ بدء الاجتياح الإسرائيلي للمدينة قبل أشهر. عـــاجـــل | كتائب القسام تبث مشاهد من عملية تدمير ناقلة جند إسرائيلية من نوع ""نمر"" بصاروخ موجه ""السهم الأحمر""  قرب برج الحسام في حي تل السلطان غرب مدينة رفح جنوب القطاع.pic.twitter.com/VAoUJFzzb7 — رضوان الأخرس (@rdooan)August 1, 2024 وقد بثت كتائب القسام صورا قالت إنها لتدمير ناقلة جند إسرائيلية من طراز ""نمر"" بصاروخ موجه من نوعالسهم الأحمر، يوم الأحد الماضي، في حي تل السلطان غرب مدينة رفح. من جهتها، بثت سرايا القدس مقطعا مصورا يظهر استهداف وتفجير مقاتليها آليتين إسرائيليتين في محور التقدم بتل الهوى جنوب غرب مدينة غزة. مستهدفا مراكز الإيواء من جديد.. مشاهد من مجزرة الاحتلال في مدرسة دلال المغربي في حي الشجاعية شرقي مدينة غزةpic.twitter.com/IJkj2X9QON — قناة القدس (@livequds)August 1, 2024 في غضون ذلك، أفاد مراسل الجزيرة باستشهاد 15 فلسطينيا اليوم في قصف إسرائيلي استهدف مدرسة ""...",Real
3,2024-08-29,AJPalestine,ما خيارات المقاومة للتعامل مع عملية الاحتلال شمالي الضفة؟ الدويري يجيب,"يعتقد الخبير العسكري والإستراتيجي اللواء فايز الدويري أن فصائل المقاومة الفلسطينية شماليالضفة الغربيةالمحتلة عليها العمل في اتجاهين للتعامل مع العملية العسكرية الواسعة التي ينفذهاجيش الاحتلال الإسرائيليبالمنطقة. وأوضح الدويري -خلال تحليله للمشهد بالضفة الغربية- أنه يتوجب على الفصائل الفلسطينية تشكيل لجان مقاومة شعبية لحماية البلدات والمخيمات والاشتباك مع المستوطنين وجيش الاحتلال، إضافة إلى ضرورة التحضير لانتفاضة ثالثة بمقاربة جديدة. ويعتقد الخبير الإستراتيجي أن ما يجري بالضفة المحتلة جزء من النظرة الإجمالية لدى الحكومة الإسرائيلية الحالية، إذ سبق لرئيس الوزراءبنيامين نتنياهوووزير ماليتهبتسلئيل سموتريتشرفع خرائط في محافل دولية تخلو من الوجود الفلسطيني بالضفة. وبشأن الفرق بين العملية العسكرية الإسرائيلية التي تجري حاليا وسابقاتها، قال الدويري إن المداهمات السابقة كانت مؤطرة بمنطقة معينة أقساها قبل 22 عاما عندما دمر الاحتلال مخيمجنين. لكن الوضع، منذ 7 أكتوبر/تشرين الأول 2023، تمثل بمداهمات معينة مع مقاربتين -وفق المتحدث- الأولى ينفذها جيش الاحتلال والثانية يمارسها المستوطنون، إلى جانب عمليات عسكرية خاصة نفذت في مخيماتجنينونور شمسوغيرها. ويضيف الخبير الإستراتيجي أن العملية العسكرية الجديدة موسعة جغرافيا، وأيضا من حيث حجم القوات المشاركة وطريقة التعامل، مستدلا بعملية إسقاط جوي نفذها جيش الاحتلال بغرض الإرهاب واستعراض القوة. ولفت إلى أن هذه الهجمات تأتي ترجمة وتنفيذا لما اقترحه قائد المنطقة العسكرية الوسطى بالجيش الإسرائيلي آفي بلوت -قبل أسابيع- عندما طالب بمناورة عملياتية شمالي الضفة مثل ما حدث بغزة. وخلص اللواء الدويري -في ختام تحليله- إلى أن الاحتلال يستهدف تدمير البنية التحتية بشكل ممنهج في مناطق شمالي الضفة (كهرباء، ماء، اتصالات، صرف صحي) إلى جانب محاولة الوصول إلى المقاتلين. ويشارك في هذه الهجمات الإسرائيلية مئات الجنود بتنسيق مع جهاز الأمن الداخلي ""الشاباك"" وبدعم من سلاح الجو الذي دفع بمروحيات عسكرية ومقاتلات ومسيرات لتوفير غطاء للقوات البرية المشاركة. ونقلت وسائل إعلام إسرائيلية عن مصادر أمنية قولها إن هذه العملية الواسعة تستهدف ما وصفته بالبنية التحتية للأذرع العسكرية الفلسطينية، في حين وصفتها الإذاعة الإسرائيلية الرسمية بأنها الأوسع في الضفة منذ عملية ""السور الو...",Real
4,2024-08-28,AJPalestine,الاحتلال يطلق عملية كبرى شمال الضفة والمقاومة تتصدى,"قال جيش الاحتلال الإسرائيلي إنه بدأ منذ ساعات الفجر الأولى اليوم الأربعاء عملية عسكرية واسعة تستهدف مسلحين فيجنينوطولكرموطوباس شمالالضفة الغربيةالمحتلة، في حين أعلنت فصائل المقاومة الفلسطينية تصديها للاقتحامات وتنفيذ عمليات نوعية. وتعليقا على هذه الحملة العسكرية، أكدت الإذاعة الإسرائيلية الرسمية أن العملية التي بدأها الجيش شمالي الضفة هي الأوسع منذ عملية ""السور الواقي"" في عام 2002، وأنها تتم بمشاركة سلاح الجو وقوات كبيرة. كما أفادت صحيفة يديعوت أحرونوت بأن العملية واسعة وعلى مستوى فرقة عسكرية. وقالت إن جهاز الأمن الداخلي الإسرائيلي (شاباك) وقوات المستعربين انضمت للجيش في عملياته، مضيفة أن الجيش يستخدم مروحيات ومقاتلات بشكل واسع. من جهتها، قالت القناة الـ14 الإسرائيلية إن الجيش استنفر آلاف الجنود من وحدات خاصة استعدادا لهذه العملية الواسعة والتي تستهدف أساسا مدنا شمالي الضفة، وإن وحدات خاصة من الجيش وحرس الحدود ووحدة تابعة للشاباك تشارك فيها. وأكدت أن عددا كبيرا من الجنود وصلوا إلى مخيم الفارعة في طوباس على متن مروحيات عسكرية. وفي إشارة إلى الأسباب الكامنة وراء إطلاق هذه العملية العسكرية الواسعة، نقلت القناة الإسرائيلية عن مسؤولين عسكريين أن ""الوضع في الضفة الغربية بات مصدر قلق جدي لإسرائيل"". تغطية صحفية: تعزيزات عسكرية للاحتلال برفقة جرافات تقتحم مدينة جنينpic.twitter.com/0V5vZwcVhf — شبكة قدس الإخبارية (@qudsn)August 27, 2024 وردا على العملية الإسرائيلية، أعلنت فصائل المقاومة التصدي لقوات الاحتلال في أكثر من منطقة، وقالت كتائب سرايا القدس التابعة لحركة الجهاد الإسلاميإن مقاتليها ""استهدفوا قوة مشاة تابعة للعدو بعبوة شديدة الانفجار في مخيم نور شمس"" في طولكرم. بدورها، أعلنت ""كتائب القسام-جنين"" -الذراع العسكري لحركة المقاومة الإسلامية (حماس)- أن مقاتليها ""يخوضون رفقة إخوانهم في الأذرع العسكرية لفصائل المقاومة اشتباكات عنيفة مع قوات الاحتلال"". وأضافت أن المقاتلين ""فجروا في جنين عبوات ناسفة محلية الصنع وشديدة الانفجار بالآليات العسكرية المقتحمة"". كما قال مراسل الجزيرة إن شبانا فلسطينيين استهدفوا جنود الاحتلال بقنبلة محلية الصنع عند مدخل مخيم العروب شمال مدينة الخليل جنوب الضفة. وتحدث المراسل عن اشتباكات وتفجيرات بعبوات ناسفة في بلدات سالم وقصره وبيت فوريك جنوب وشرق مدينة...",Real
5,2024-08-13,AJPalestine,بن غفير و3 آلاف مستوطن يقتحمون الأقصى,"اقتحم وزيران إسرائيليان ومئات المستوطنين المتطرفين -صباح اليوم الثلاثاء- باحاتالمسجد الأقصى المباركفي القدس المحتلة تحت حماية شرطة الاحتلال، في ما تعرف ""بذكرى خراب الهيكل"". وقالت دائرة الأوقاف الإسلامية في القدس المحتلة عصر اليوم إن أكثر من 2958 مستوطنا ومتطرفا اقتحموا المسجد الأقصى منذ صباح اليوم، بينهم وزيران وعضو في الكنيست الإسرائيلي. وأكدت مصادر في دائرة الأوقاف أن وزير الأمن القومي الإسرائيلي اليميني المتطرفإيتمار بن غفيراقتحم المسجد الأقصى، في حين قالت مراسلة الجزيرة إن وزير شؤون النقب والجليل يتسحاق فاسرلاوف من حزب ""عظمة يهودية"" يشارك في الاقتحامات أيضا. من جانبها، ذكرت وسائل إعلام إسرائيلية أن عضو الكنيست عن حزب الليكود عميت هاليفي كان من بين مقتحمي الأقصى صباح اليوم. وأكدت مصادر في دائرة الأوقاف الإسلامية أن شرطة الاحتلال تمنع المصلين الفلسطينيين من دخول المسجد الأقصى بالتزامن مع اقتحامات المستوطنين. كما قالت مراسلة الجزيرة نجوان سمري إن مستوطنين إسرائيليين رفعوا العلم الإسرائيلي داخل المسجد. ونشرت وسائل إعلام فلسطينية مقاطع تظهر أعدادا كبيرة من المستوطنين وهم يرقصون ويؤدون صلوات تلمودية في باحات الأقصى. تغطية صحفية: الأقصى هذه اللحظات.. عشرات المستوطنين يقتحمونه ويؤدون صلوات تلمودية ورقصات في ما يسمى ذكرى ""خراب الهيكل"".pic.twitter.com/GfFXMrFJqG — شبكة قدس الإخبارية (@qudsn)August 13, 2024 وخلال اقتحامه للأقصى صباح اليوم الثلاثاء قال بن غفير إن ""هناك تقدما كبيرا جدا في فرض السيادة والسلطة على جبل الهيكل (المسجد الأقصى)، وإن سياستنا أن نسمح لليهود بالصلاة هنا"". وأضاف بن غفير ""يجب ألا نذهب إلى المؤتمرات في الدوحة أو القاهرة (في إشارة إلى المفاوضات بشأن غزة)، بل الانتصار على حركة حماس وتركيعها""، وفق تعبيره. يأتي ذلك بينما أصدر مكتب ديوان رئيس الوزراء الإسرائيلي بنيامين نتنياهو بيانا جاء فيه أن ""ما حدث صباح اليوم في جبل الهيكل يعدّ تجاوزا للوضع القانوني القائم"". وقال نتنياهو إن ""صنع السياسات بشأن جبل الهيكل يخضع مباشرة لرئيس الحكومة بنيامين نتنياهو"". وأكد أنه ""لا توجد سياسة خاصة لأي وزير بشأن جبل الهيكل، لا لوزير الأمن القومي إيتمار بن غفير ولا لأي وزير آخر"". من جهته، قال زعيم المعارضة الإسرائيلية يائير لبيد إن حملة وزير الأمن القومي إيتمار بن غفير الانتخابية...",Real
6,2024-08-17,AJPalestine,الحرب على غزة مباشر.. كمائن وعمليات للمقاومة وشهيدان بغارة إسرائيلية على جنين,في اليوم الـ316 للحرب علىغزة، واصل جيش الاحتلال قصف مناطق عدة بالقطاع الفلسطيني المحاصر مخلفا شهداء وجرحى، كما استشهد فلسطينيان مساء اليوم السبت بغارة نفذتها مُسيرة استهدفت سيارة في مدينة جنين بالضفة الغربية المحتلة.,Real
7,2024-08-16,AJPalestine,إعلام إسرائيلي: عمليات الجيش في غزة انتهت بشكل عام,"نقلت هيئة البث الإسرائيلية عن مسؤولين أمنيين قولهم إن عملياتالجيش الإسرائيليانتهت في قطاعغزةبشكل عام. وأضاف المسؤولون أن المؤسسة الأمنية أبلغت القيادة السياسية أن الوقت حان لإبرام صفقة لاستعادة المحتجزين الإسرائيليين. وذكرت المصادر نفسها أن بإمكان إسرائيل دخول قطاع غزة مرة أخرى عندما تتوفر معلومات استخباراتية جديدة. ووفقا لما أوردته هيئة البث الإسرائيلية فإن ""قيادة الجيش أخبرت صناع القرار أن لواءرفحالتابع لحركةحماسقد تم تفكيكه، وأنه غير موجود تقريبا"". ما دلالات إعلان مسؤولين أمنيين إنهاء عمليات جيش الاحتلال الإسرائيلي في غزة؟.. المزيد مع الخبير العسكري والاستراتيجي العقيد الركن حاتم كريم الفلاحي#حرب_غزة#الأخبارpic.twitter.com/csOzoH1K20 — قناة الجزيرة (@AJArabic)August 16, 2024 وتواصل إسرائيل حربها على غزة بدعم أميركي منذ أكثر من 10 أشهر، وقد وصفها خبراء دوليون بالإبادة الجماعية حيث استشهد وأصيب وفقد عشرات الآلاف، معظمهم أطفال ونساء، ومحيت عائلات بأكملها من السجل المدني، ودمرت قرابة 70% من البنية التحتية المدنية من منازل ومدارس ومستشفيات. من جانبها، تواصل فصائل المقاومة الفلسطينية الاشتباك مع قوات الاحتلال واستهدافها بالكمائن وعمليات القصف والقنص في محاور عدة بالقطاع.",Real
8,2024-08-14,AJPalestine,5 شهداء بطوباس والاحتلال يوسع اقتحاماته بالضفة,"استشهد 5 فلسطينيين جراء العدوان الإسرائيلي المتواصل على مدينة طوباس وبلدة طمون التابعة لها شمالي شرقالضفة الغربيةالمحتلة، في حين تواصل قوات الاحتلال اقتحاماتها لمدن وبلدات بالضفة منذ فجر اليوم الأربعاء، وسط اشتباكات عنيفة مع المقاومة الفلسطينية. وقال محافظ طوباس أحمد أسعد إن جيش الاحتلال الإسرائيلي يعمل على فصل المستشفى التركي عن بقية المدينة لمنع وصول المصابين إليه. تغطية صحفية: تصاعد أعمدة الدخان بعد استهداف قوات الاحتلال بعبوة ناسفة خلال العدوان على طوباس.pic.twitter.com/8LzVPA1vuE — شبكة قدس الإخبارية (@qudsn)August 14, 2024 وكان مراسل الجزيرة قال في وقت سابق صباح اليوم إن شابا فلسطينيا استشهد وأصيب آخر خلال العملية العسكرية الإسرائيلية الواسعة في طوباس، كما أفاد بوقوع اشتباكات عنيفة بين مقاومين فلسطينين وقوات الاحتلال. وقال مراسل الجزيرة إن قوات الاحتلال الإسرائيلي قصفت بطائرة مسيرة مركبة فلسطينية في مدينة طوباس، في حين قال الهلال الأحمر الفلسطيني إن فتى فلسطينيا أصيب برصاص الاحتلال الإسرائيلي خلال اقتحامه المتواصل للمدينة. 🔴 مقطع يوثق نقل إصابات من جنود الاحتلال بعد اشتباكات في مدينة#طوباسpic.twitter.com/wJbnB5fxfP — ساحات – عاجل 🇵🇸 (@Sa7atPlBreaking)August 14, 2024 واقتحم جيش الاحتلال طوباس فجر اليوم، ونشر فرق القناصة في مناطق بالمدينة مع وجود غطاء جوي ناري مكثف بالأجواء، وفق وسائل إعلام فلسطينية. ⭕️ طائرات الاحتلال المروحية تواصل إجلاء إصابات في صفوف جنوده بعد اشتباكات عنيفة مع المــقاومة في طوباسpic.twitter.com/oZYiDlhzdO — المركز الفلسطيني للإعلام (@PalinfoAr)August 14, 2024 وأفاد مراسل الجزيرة بوقوع اشتباكات مسلحة بين المقاومين في المدينة وقوات الاحتلال، في حين قال المركز الفلسطيني للإعلام إن طائرات الاحتلال المروحية تواصل إجلاء جنود أصيبوا خلال الاشتباكات التي وصفها بالعنيفة. وقالتسرايا القدس-الجناح العسكري لحركة الجهاد الإسلامي- إن مقاتليها في كتيبة طوباس يتصدون بالرصاص والعبوات الناسفة لقوات الاحتلال في أثناء اقتحامها المدينة. من جهته، قال جيش الاحتلال الإسرائيلي إنه قتل مسلحا فلسطينيا وأصاب اثنين في عملية عسكرية في مدينة طوباس وبلدة طمون بالضفة الغربية. عاجل| مصادر محلية: ارتقاء الأسير المحرر فايز فواز دراغمة ""ابو عامر"" بعد حصاره وقصفه في منزل بطوباس ...",Real
9,2024-08-14,AJPalestine,"مفاوضات ""الفرصة الأخيرة"" لوقف إطلاق النار بغزة تنطلق غدا بالدوحة","تتوالى التصريحات والمواقف قبل ساعات قليلة من انعقاد جولة جديدة منتظرة من محادثات وقف إطلاق النار فيقطاع غزةمن المقرر عقدها غدا الخميس في العاصمة القطرية الدوحة، ووصفت وسائل إعلام إسرائيلية هذه الجولة ""بلقاء الفرصة الأخيرة لإعادة الأسرى أحياء"". وقالت حركة المقاومة الإسلامية (حماس) -اليوم الأربعاء- إنها لن تشارك في جولة جديدة من محادثات وقف إطلاق النار، وذلك تأكيدا لموقفها المعلن في رفض خوض مفاوضات جديدة وتمسكها بالورقة التي طرحها الوسطاء. ونقلت رويترز عن القيادي في حركة حماس سامي أبو زهري قوله إن ""حماس متمسكة بورقة الوسطاء التي قدمت إليها في الثاني من يوليو/تموز الماضي والتي تستند إلى قرار مجلس الأمن وخطاب (الرئيس الأميركي)جو بايدن، والحركة جاهزة للبدء فورا بالبحث في آليات تنفيذها"". وأضاف ""أما الذهاب إلى مفاوضات جديدة فيسمح للاحتلال بفرض شروط جديدة وتوظيف متاهة المفاوضات لارتكاب مزيد من المجازر"". ونقل موقع ""أكسيوس"" عن مصادر أن حماس أوضحت أن ممثليها لن يشاركوا بمحادثات الخميس، ولكنهم سيكونون على استعداد للقاء الوسطاء بعد ذلك، للحصول على تحديث، ومعرفة إذا كانت إسرائيل ستقدم اقتراحا جدّيا وعمليا للصفقة. وذكر الموقع الأميركي أن مدير الاستخبارات المركزية الأميركية وليام بيرنز يغادر إلى الدوحة اليوم، للمشاركة في اجتماع رباعي غدا في الدوحة مع رئيس الوزراء وزير الخارجية القطري ورئيسي الموساد والمخابرات المصرية. وقالت الحكومة الإسرائيلية إنها سترسل وفدا إلى محادثات غد الخميس، وسط استمرار الاتهامات والتسريبات التي تكشف عن سعي رئيس الوزراء الإسرائيليبنيامين نتنياهولعرقلة التوصل إلى اتفاق لوقف إطلاق نار. ونقلت صحيفة ""يديعوت أحرونوت"" عن عائلات مجندات أسيرات أنهم وصلتهم معلومات تقول إن رئيس الموسادديفيد برنيعوحده من سيتوجه لمحادثات الدوحة، ورأت العائلات أن عدم إرسال الوفد الإسرائيلي كاملا يعني التخلي عن المختطفين. ولكن صحيفة ""معاريف"" أفادت لاحقا بصدور قرار بإيفاد طاقم المفاوضات كاملا يوم غد إلى الدوحة، دون تفاصيل إضافية. من جانبها، قالت الولايات المتحدة إنها تتوقع أن تمضي المحادثات غير المباشرة قدما كما هو مخطط لها في العاصمة القطرية الدوحة غدا الخميس، وإن التوصل إلى اتفاق لوقف إطلاق النار لا يزال ممكنا. ومع ذلك، ذكر ""أكسيوس"" أن وزير الخارجية الأميركيأنتوني بلينكنأرجأ زيارة إلى ال...",Real
10,2024-08-14,AJPalestine,إصابة 4 جنود إسرائيليين وتفجير آليتين عسكريتين بطوباس,"أصيب عدد من الجنود الإسرائيليين اليوم الأربعاء بتفجير عبوتين ناسفتين استهدفتا آليتين عسكريتين فيطوباسبشمال شرقيالضفة الغربيةالمحتلة، وذلك غداة استشهاد 5 فلسطينيين بنيران قوات الاحتلال التي واصلت حملة الاقتحامات والاعتقالات بمدن الضفة وبلداتها. وأعلنت إذاعة الجيش الإسرائيلي مساء اليوم إصابة 4 جنود بجروح مختلفة، إثر انفجار عبوة ناسفة استهدفت مدرعة بمدينة طوباس. ونقلت هيئة البث الإسرائيلية عن مصادر بجيش الاحتلال -لم تسمها- قولها إن جنديين أصيبا بجروح متوسطة، بينما أُصيب آخران بجروح طفيفة في انفجار عبوة ناسفة بمركبة مدرعة بطوباس فيغور الأردن. وأفادت صحيفة ""يديعوت أحرونوت"" بأن الانفجار وقع خلال عملية عسكرية للجيش في طوباس وبلدة طمون، ومخيم الفارعة للاجئين الفلسطينيين، وأسفر عن إصابة 4 جنود نقلوا إلى المستشفى. ولاحقا أعلنتسرايا القدسالجناح العسكري لحركة الجهاد الإسلامي-الضفة الغربية مساء اليوم، أن مقاتلي كتيبة طوباس فجروا عبوة ناسفة بآلية عسكرية أخرى بشارع الثغرة وأصابوا من فيها. وفي وقت سابق اليوم، انسحب الجيش الإسرائيلي من طوباس وطمون، بعد عملية عسكرية استمرت بضع ساعات، قتل خلالها 5 فلسطينيين وأصيب واعتقل آخرون. ففي طوباس، أفاد مراسل الجزيرة بأن قوة إسرائيلية اقتحمت أحد منازل المدينة، وقتلت أحد الموجودين. كذلك قصفت مسيرة إسرائيلية سيارة في قرية طمون، وقتلت ركابها بذريعة إحباط خلية مسلحة كانت تعد لهجوم على أهداف إسرائيلية. وقد نعت حركة المقاومة الإسلامية (حماس) شهداء طوباس الخمسة، ودعت شباب المقاومة إلى تكثيف العمليات ضد قوات الاحتلال والمستوطنين في الضفة الغربية. بدورها، قالت كتائبعز الدين القسام-الجناح العسكري لحركة حماس- إن أحد مقاتليها، فياض فواز دراغمة، استشهد في غارة طوباس. وأكدت القسام -في بيان- أنها ""تطمئن الشعب الفلسطيني بأن المقاومة في طوباس بلغت مرحلة متقدمة من التجذر والثبات والتنظيم"". من جانبها، قالت حركةالجهاد الإسلاميإنها ""تزف شهداء طمون وطوباس، وتؤكد أن تصعيد الاحتلال دليل على تعطشه لسفك الدماء وارتكاب الجرائم"". وأشارت الحركة إلى أن ما وصفته بإجرام الاحتلال ""لن يزيدنا إلا ثباتا وعزيمة على مواجهته ودحره عن أرض فلسطين"". وبارتقاء الشهداء الخمسة في طوباس ارتفعت حصيلة الشهداء في الضفة إلى 630، منذ أن وسع جيش الاحتلال عملياته العسكرية فيها بالتزامن مع حربه المد...",Real
