ID,Date,Platform,Title,News_Content,Label
0,2024-09-04,AJPalestine,الحرب على غزة مباشر.. شهداء وقصف بأنحاء القطاع والاحتلال يوسع عملياته بجنين وطولكرم,في اليوم الـ334 من العدوان على غزة، واصل الاحتلال قصفه مناطق بالقطاع، لا سيما على شمالي رفح، وشن غارات أدت إلى استشهاد 18 شخصا منذ فجر اليوم.,Real
1,2024-09-27,AJPalestine,الحرب على غزة مباشر.. الإعلام الإسرائيلي يتحدث عن محاولة اغتيال حسن نصر الله,في اليوم الـ357 للحرب على غزة، جدد الاحتلال الإسرائيلي قصف مناطق متفرقة من القطاع، في حين أعلن حزب الله اللبناني قصف مدينة طبريا للمرة الثانية اليوم دعما لفلسطين ودفاعا عن لبنان وردا على الاستباحة الهمجية الإسرائيلية للمدنيين، فضلا عن استهداف مواقع عسكرية إسرائيلية.,Real
2,2024-09-22,AJPalestine,"رسائل أميركية لإسرائيل بشأن جبهة لبنان ونقاش حول ""مقياس التصعيد""","أجرى مسؤولون أميركيون سلسلة اتصالات مع نظرائهم الإسرائيليين بشأن التطورات الأخيرة على جبهة لبنان، وقال البيت الأبيض إنه ما زال هناك مجال للعمل الدبلوماسي، في حين صرح رئيس الوزراء الإسرائيلي بنيامين نتنياهو بأنه يفضل تجنب حرب شاملة، لكنه يتمسك بإبعاد حزب الله عن الحدود.

وقال المتحدث باسم مجلس الأمن القومي في البيت الأبيض جون كيربي -اليوم الأحد- إن ""هناك طرقا أفضل لإعادة الإسرائيليين إلى منازلهم في الشمال، بدلا من الحرب وفتح جبهة ثانية ضد حزب الله"".

وتابع قائلا ""لا نذرف الدموع على إبراهيم عقيل الذي تلطخت يداه بالدماء الأميركية، ولكننا لا نريد التصعيد""، وذلك في إشارة إلى اغتيال إسرائيل القائد العسكري البارز في حزب الله في غارة على الضاحية الجنوبية لبيروت أول أمس الجمعة.

وأضاف كيربي في تصريحات لشبكة ""إيه بي سي"" الأميركية: ""لا نزال نعتقد أن هناك وقتا ومجالا للعمل الدبلوماسي لحل الصراع وإعادة الإسرائيليين إلى منازلهم"".

وأكد أن الولايات المتحدة تفعل كل ما في وسعها للحيلولة دون تحول القتال بين إسرائيل وحزب الله إلى حرب شاملة، وقال ""لا نعتقد أن تصعيد هذا النزاع العسكري يصب في مصلحتهم (إسرائيل). هذا ما نقوله مباشرة لنظرائنا الإسرائيليين"".

نتنياهو يتحدث

وفي إسرائيل، قال رئيس الوزراء بنيامين نتنياهو إن حكومته تفضل ألا تذهب إلى حرب شاملة في التصعيد مع حزب الله، لكنها عازمة على إبعاده عن الحدود.

وأضاف نتنياهو أن إسرائيل وجهت لحزب الله خلال الأيام الماضية ""سلسلة من الضربات لم يكن يتخيلها""، وتوعده بمزيد من الضربات إذا لم يفهم الرسالة، حسب تعبيره.

في غضون ذلك، قالت وزارة الدفاع الأميركية (البنتاغون) إن وزير الدفاع لويد أوستن أجرى اتصالا مع نظيره الإسرائيلي يوآف غالانت أمس السبت عقب سلسلة هجمات حزب الله الصاروخية على شمال إسرائيل.

إعلان

وأعرب أوستن لنظيره الإسرائيلي عن قلقه بشأن سلامة وأمن المواطنين الأميركيين في المنطقة، كما شدد على أهمية التوصل إلى حل دبلوماسي لإعادة الإسرائيليين إلى ديارهم في الشمال، وفقا لما ذكره البنتاغون.

رسائل أميركية

وأفاد موقع أكسيوس الأميركي بأن كلا من مستشار الأمن القومي الأميركي جيك سوليفان ووزير الدفاع لويد أوستن ومستشار البيت الأبيض للشرق الأوسط بريت ماكغورك والمبعوث الخاص للرئيس الأميركي آموس هوكشتاين أجروا عدة مكالمات مع نظرائهم الإسرائيليين يومي الجمعة والسبت.

ونقل الموقع عن مسؤول أميركي قوله إن إحدى الرسائل الرئيسية كانت أن واشنطن تريد إبقاء الطريق مفتوحا أمام الحل الدبلوماسي.

وأضافت المصادر أن الولايات المتحدة أوضحت لإسرائيل أن مثل هذه الحرب لن تحقق هدفها بإعادة النازحين إلى منازلهم.

كما أكدوا أن تأثير واشنطن على القرارات العسكرية الإسرائيلية محدود، وأنها ""تركز على التوصل إلى تفاهم مع إسرائيل بشأن مقياس التصعيد"".

وقال مسؤولون إسرائيليون وأميركيون إن إدارة الرئيس جو بايدن طلبت من إسرائيل الامتناع عن اتخاذ إجراءات مثل الغزو البري أو الضربات الجوية واسعة النطاق في المناطق المدنية التي من شأنها أن تؤدي إلى تصعيد الصراع إلى حرب.

""واشنطن تؤيد التصعيد""

من ناحية أخرى، قال موقع ""والا"" الإسرائيلي إن الولايات المتحدة، رغم معارضتها العلنية حربا شاملة مع حزب الله، فإنها تؤيد سياسة التصعيد الإسرائيلية ضد الحزب لتحقيق ضغط عسكري يفتح الطريق لتفاهم دبلوماسي ينهي الصراع في الشمال ويسمح للسكان بالعودة إلى ديارهم على طرفي الحدود.

واستهدف حزب الله -اليوم الأحد- بالصواريخ مواقع في حيفا التي تبعد عن الحدود اللبنانية نحو 40 كيلومترا، وذلك للمرة الأولى منذ بدء المواجهة بين الجانبين في الثامن من أكتوبر/تشرين الأول 2023.

وقال الحزب إن هجماته صباح اليوم تعد ردا أوليا على ""المجزرة الوحشية التي ارتكبها العدو الإسرائيلي في مختلف المناطق اللبنانية يومي الثلاثاء والأربعاء ‌‏(مجزرة البيجر وأجهزة اللاسلكي)"".

وأعلن نعيم قاسم نائب الأمين العام لحزب الله اليوم أن الحزب دخل ""معركة الحساب المفتوح"" ضد إسرائيل، كما أكد أن ""جبهة الإسناد اللبنانية مستمرة مهما طال الزمن إلى أن تتوقف الحرب على غزة"".

""غزة أخرى""

ومع تصاعد المواجهة، أعربت جهات دولية عدة عن قلقها من اتساع نطاق الصراع، ودعت إلى التهدئة والتوصل إلى تسوية سياسية.

وحذر الأمين العام للأمم المتحدة أنطونيو غوتيريش من مخاطر تحويل لبنان إلى ""غزة أخرى"".

وقالت المنسقة الخاصة للأمم المتحدة في لبنان جينين هينيس بلاسخارت إن المنطقة تقترب من ""كارثة وشيكة""، مشددة على أنه ""لا حل عسكريا من شأنه أن يوفر الأمان لأي طرف"".

من جهته، قال مسؤول السياسة الخارجية في الاتحاد الأوروبي جوزيب بوريل إن الاتحاد ""قلق للغاية إزاء التصعيد في لبنان بعد هجوم الجمعة في بيروت""، في إشارة إلى الغارة الإسرائيلية على الضاحية الجنوبية والتي أسفرت عن مقتل نحو 50 لبنانيا، بينهم عدد من قادة وعناصر حزب الله.

إعلان

ودعا بوريل إلى وقف إطلاق النار على طول الخط الأزرق وكذلك في قطاع غزة، مشيرا إلى أن المدنيين على جانبي الحدود ""يدفعون ثمنا باهظا"".

بدوره، دعا وزير الخارجية البريطاني ديفيد لامي إلى وقف فوري لإطلاق النار، كما نصح المواطنين البريطانيين في لبنان بالمغادرة بسبب ""التصعيد المقلق"".",Real
3,2024-09-29,AJPalestine,الحرب على غزة مباشر.. إسرائيل تخطط لتحرك بري بلبنان وتشن غارات على اليمن,في اليوم الـ359 للحرب على غزة، قال مراسل الجزيرة إن جثمان الأمين العام حزب الله اللبناني حسن نصر الله انتشل من موقع الهجوم الجوي الإسرائيلي على الضاحية الجنوبية لبيروت.,Real
4,2024-09-14,AJPalestine,حزب الله يقصف الجليل برشقة صاروخية كبيرة ويدمر ميركافا إسرائيلية,"قصف حزب الله اللبناني -اليوم السبت- مواقع عسكرية ومناطق غير مخلاة في الجليل برشقة صاروخية كبيرة، وأكد تدمير دبابة إسرائيلية بصاروخ موجّه قرب الحدود.

فقد قالت وسائل إعلام إسرائيلية إن دفعة صاروخية من لبنان استهدفت عددا كبيرا من المناطق غير المخلاة من السكان بالجليل الأعلى.

وأفاد موقع صحيفة معاريف بإطلاق نحو 60 صاروخا من لبنان باتجاه صفد وطبريا في الجليل الأعلى منذ الليلة الماضية.

كما تحدثت القناة 12 الإسرائيلية عن سقوط صواريخ بمناطق مفتوحة في روش بينا وشمال بحيرة طبريا بالجليل الأعلى أسفرت عن اندلاع حرائق.

وفي الإطار، ذكرت صحيفة يديعوت أحرونوت أن 6 فرق إطفاء تحاول السيطرة على حريق في منطقة عميعاد بالجليل الأعلى بعد سقوط صواريخ من لبنان.

من جهته، تحدث الجيش الإسرائيلي عن إطلاق نحو 55 صاروخا من لبنان باتجاه الجليل خلال ساعة واحدة، وقال إن دفاعاته اعترضت عددا منها وسقط معظمها في مناطق مفتوحة.

كما قال إن دفاعاته اعترضت هدفا جويا مشبوها تسلل من لبنان إلى مناطق الجليل الغربي.

وقال مراسل الجزيرة إن صفارات الإنذار دوت في أكثر من 15 بلدة في الجليل الأعلى وصفد وجنوب بحيرة طبريا.

#شاهد | انفجارات بعد سقوط صواريخ المقاومة اللبنانية في صفد شمال فلسطين المحتلة. pic.twitter.com/AprvqaQWRT — المركز الفلسطيني للإعلام (@PalinfoAr) September 14, 2024

أهداف عسكرية

وفي بيانات عبر منصاته الإعلامية، قال حزب الله إنه استهدف مقر الفيلق الشمالي وقاعدة فرقة الجليل الإسرائيليين في مستوطنة عميعاد بعشرات من صواريخ الكاتيوشا.

كما قال الحزب إن مقاتليه دمروا دبابة ميركافا على الطريق بين رويسات العلم وزبدين بصاروخ موجه بعد إصابتها بشكل مباشر.

وفي عملية أخرى، قصف حزب الله مقر اللواء المدفعي والصواريخ ‏الدقيقة 282 ومخازن التسليح والطوارئ التابعة لها شمال غرب بحيرة طبريا ‏بعشرات صواريخ الكاتيوشا.

إعلان

من جانبه، قال الجيش الإسرائيلي إنه هاجم منصات في جنوب لبنان استخدمت الليلة الماضية وصباح اليوم لإطلاق صواريخ باتجاه الجليل.

وأضاف أن طائراته استهدفت مبنى عسكريا لحزب الله في كفر رمان، وتابع أنه قصف بالمدفعية مناطق عدة في جنوب لبنان.

وأسفر القصف الإسرائيلي على لبنان أمس عن مقتل عنصر من حزب الله وإصابة 13 مدنيا.

ومنذ أكتوبر/تشرين الأول الماضي يخوض الحزب مواجهات يومية مع الجيش الإسرائيلي عبر الحدود دعما لغزة، وقد أسفرت حتى الآن عن مقتل نحو 500 أغلبهم في الجانب اللبناني.",Real
5,2024-09-24,AJPalestine,اشتباكات مسلحة في الضفة ودعوات إسرائيلية لتعزيز الاستيطان,"اقتحمت قوات الاحتلال الإسرائيلي بلدات في الضفة الغربية، وشنت حملات دهم واعتقال في صفوف الفلسطينيين، مما أدى إلى اندلاع اشتباكات مسلحة في بعض المناطق.

واقتحمت قوات الاحتلال مدينتي البيرة ونابلس وبلدات عزون شرقي قلقيلية، واليامون غربي جنين.

وقالت وسائل إعلام فلسطينية إن قوات الاحتلال اقتحمت قرية مادما جنوبي نابلس ومخيم عسكر الجديد، وقرية دير أبو مشعل غربي رام الله، وبلدتي الظاهرية وإذنا بقضاء الخليل، وبلدة قطنة شمالي القدس المحتلة.

من جهتها، قالت كتائب شهداء الأقصى إن مقاتليها يخوضون اشتباكات ضارية مع القوات المقتحمة لمخيم عسكر الجديد شرقي مدينة نابلس، بالأسلحة الرشاشة والعبوات المتفجرة.

وقالت قناة الأقصى الفضائية إن اشتباكات عنيفة اندلعت بين المقاومة الفلسطينية وقوات الاحتلال في بلدة طمون جنوبي طوباس بالضفة الغربية المحتلة بعد اقتحامها.

وفي جنين، اندلعت اشتباكات عنيفة بين مقاومين وقوات الاحتلال في بلدة اليامون، حيث فجرت سرايا القدس -الجناح العسكري لحركة الجهاد الإسلامي– عبوة ناسفة في آليات الاحتلال.

⬅️ شاهد ..اشتباكات عنيفة ومتواصلة مع جيش الاحتلال في بلدة طمون جنوب طوباس شمال الضفة الغربية المحتلة pic.twitter.com/HIs6jYWNyI — المركز الفلسطيني للإعلام (@PalinfoAr) September 24, 2024

هدم المنازل

ومن جانب آخر للاعتداءات الإسرائيلية، هدم جيش الاحتلال منزلا فلسطينيا جنوبي الضفة الغربية، بذريعة ""البناء دون ترخيص"".

وأفاد الفلسطيني مهند أبو جحيشة بأن قوة إسرائيلية اقتحمت بلدة إذنا وشرعت بهدم منزله في مناطق مصنفة (ج) حسب اتفاق أوسلو.

وأوضح أن المنزل مكون من طابقين بمساحة 220 مترا مربعا، وأن عملية الهدم جاءت بشكل مفاجئ، إذ تم إخلاء المنزل وتفريغ محتوياته بمساعدة الجيران قبل هدمه.

وفي وقت سابق، هدمت جرافات إسرائيلية منزل الفلسطيني مصطفى بني عودة في قرية الجفتلك بالأغوار الشمالية بالذريعة ذاتها.

إعلان

وتمنع السلطات الإسرائيلية البناء أو استصلاح الأراضي في المناطق المصنفة (ج) دون تراخيص من شبه المستحيل الحصول عليها، حسب ما يقول الفلسطينيون.

وحسب هيئة مقاومة الجدار والاستيطان (رسمية)، هدمت إسرائيل 318 منشأة فلسطينية بالضفة الغربية المحتلة خلال النصف الأول من عام 2024.

وتأتي عملية الهدم عقب موافقة الجمعية العامة للأمم المتحدة الأربعاء، بأغلبية 124 صوتا مقابل 14 على أول قرار تقدمه فلسطين، يطالب بانسحاب إسرائيل من الأراضي المحتلة خلال 12 شهرا.

تعزيز الاستيطان

وفي سياق متصل، دعا وزير الداخلية الإسرائيلي موشيه أربيل لتعزيز الاستيطان في الضفة الغربية المحتلة، في تحدّ واضح للقوانين الدولية.

وجاءت تصريحات أربيل خلال وجوده في مستوطنة ""غوش عتصيون"" جنوبي الضفة، وفق القناة الـ12 الإسرائيلية.

وكانت الحكومة اليمينية الإسرائيلية صعّدت الاستيطان في الضفة الغربية منذ تسلمها لمهامها في نهاية عام 2022.

وتفيد معطيات هيئة مقاومة الجدار والاستيطان الفلسطينية باستيلاء الجيش الإسرائيلي بأوامر عسكرية على نحو 27 ألف دونم من أراضي الضفة الغربية خلال النصف الأول من العام الجاري 2024.

ووفق تقديرات إسرائيلية، يقيم أكثر من 720 ألف مستوطن في مستوطنات بالضفة الغربية، بما فيها القدس الشرقية.

ووفقا للقانون الدولي، تعدّ المستوطنات الإسرائيلية المقامة على أراضي الفلسطينيين في الضفة الغربية والقدس الشرقية غير قانونية.

وبموازاة حربه على قطاع غزة منذ 7 أكتوبر/تشرين الأول، وسّع الجيش الإسرائيلي عمليته في الضفة بينما صعّد المستوطنون اعتداءاتهم ما أدى إلى استشهاد 716 فلسطينيا، وإصابة نحو 5 آلاف و750 واعتقال ما يزيد على 10 آلاف و800، وفق مؤسسات رسمية فلسطينية.",Real
6,2024-09-25,AJPalestine,شهيد في الخليل واعتقالات بعد اقتحام الاحتلال مدن الضفة,"استشهد شاب فلسطيني وأصيب 3 آخرين برصاص الاحتلال الإسرائيلي خلال اقتحامه مخيم الفوار بمدينة الخليل جنوب الضفة الغربية المحتلة، كما اعتقلت قوات الاحتلال عدة شبان فلسطينيين من مدن الضفة.

وأفادت وكالة الأنباء الفلسطينية الرسمية (وفا) -فجر اليوم الأربعاء- بأن الشاب يحيى دانيال عوض (29 عاما) استُشهد متأثرا بإصابته الحرجة برصاص قوات الاحتلال في الصدر خلال اقتحامها مخيم الفوار الثلاثاء.

وكانت قوات الجيش الإسرائيلي اقتحمت المخيم في وقت متأخر من مساء الثلاثاء، حيث داهمت عدة منازل، وسط إطلاق الرصاص الحي وقنابل الصوت صوب المواطنين.

وأدى ذلك إلى إصابة 4 شبان بالرصاص الحي، بينهم عوض الذي أصيب بجروح خطيرة في الصدر، والآخرون أصيبوا بجروح متوسطة إلى طفيفة في القدم والكتف والظهر.

وجرى نقل هؤلاء المصابين إلى مستشفى يطا الحكومي، قبل أن يُعلن الأطباء في وقت لاحق عن وفاة عوض متأثرا بإصابته الحرجة.

وذكرت مصادر محلية لـ""وفا"" أن الفصائل أعلنت الإضراب الشامل في مخيم الفوار اليوم.

ومن حين إلى آخر، يقتحم الجيش الإسرائيلي مخيم الفوار الواقع قرب الشارع العام جنوب مدينة الخليل.

كما اقتحمت قوات الاحتلال الإسرائيلي مدينة طولكرم شمالي الضفة، وبلدتي قطنة وبدو شمال غربي القدس.

وأفادت مصادر محلية بأن قوات الاحتلال اقتحمت مخيم شعفاط شمال القدس، وأطلقت الرصاص وقنابل الغاز المسيل للدموع صوب المواطنين ومنازلهم.

عاجل| تغطية صحفية: ارتقاء الشاب يحيى دانيال عوض متأثرا بإصابته برصاص الاحتلال في مخيم الفوار بالخليل pic.twitter.com/cryXFIKnLm — شبكة قدس الإخبارية (@qudsn) September 24, 2024

اعتقالات

وشرعت قوات الاحتلال باعتقال عدد من الفلسطينيين في الضفة، حيث اعتقلت رئيس المجلس البلدي لقرية كفل حارس شمال غربي سلفيت بعد اقتحام منزله.

إعلان

واعتقلت تلك القوات 3 شبان من عائلة الأطرش بعد اقتحام منازلهم في منطقة سدة الفحص جنوب مدينة الخليل، وداهمت منزلا آخر هناك.

كما اعتقلت 8 شبان فلسطينيين خلال اقتحام مخيم الدهيشة في بيت لحم.

متابعة .. قوات الاحتلال تعتقل 3 شبان من عائلة الأطرش بعد اقتحام منازلهم في منطقة سدة الفحص جنوبي مدينة الخليل pic.twitter.com/JqbiUfzKcH — شبكة فلسطين للحوار (@paldf) September 24, 2024

وبالتزامن مع حربه على غزة منذ 7 أكتوبر/تشرين الأول 2023، وسع الجيش الإسرائيلي عملياته بالضفة، بينما صعد المستوطنون اعتداءاتهم مما أدى إلى استشهاد 717 فلسطينيا بينهم 160 طفلا، وإصابة نحو 5 آلاف و750 فلسطينيا، واعتقال ما يزيد على 10 آلاف و900 مواطن، وفق مؤسسات رسمية فلسطينية.",Real
7,2024-09-29,AJPalestine,نتنياهو: كما هو مكتوب في التوراة سألاحق أعدائي وسأقضي عليهم,"لجأ رئيس الوزراء الإسرائيلي بنيامين نتنياهو من جديد إلى التوراة لتبرير وتفسير العدوان الذي تشنه إسرائيل على فلسطين ولبنان واليمن، متوعدا بتغيير المعادلات بالمنطقة.

وقال نتنياهو في مؤتمر صحفي مع الوزير الجديد في مجلس الوزراء الإسرائيلي غدعون ساعر ""كما هو مكتوب في التوراة سألاحق أعدائي وسأقضي عليهم"".

وأضاف ""نعمل بمنهجية على اغتيال قيادات حزب الله وتغيير الواقع الإستراتيجي في الشرق الأوسط كله"".

وأكد أن تغيير توازن القوى يجلب معه احتمالا بتحالفات جديدة في المنطقة لأن إسرائيل حينئذ تنتصر.

وتابع ""نعيش حربا في 7 جبهات وحطمنا حماس في غزة وضربنا حزب الله ومنذ ساعة ضربنا الحوثيين في اليمن"".

وفي تعليق على الهجمات التي شنتها إسرائيل مساء اليوم على مدينة الحديدة باليمن، قال نتنياهو ""ضربنا الحوثيين في اليمن وجميعنا رأى الأهداف والثمن الذي يتكبده كل من يهاجموننا"".

وشدد على ضرورة الوحدة الداخلية، قائلا إن ""وحدة الصف هي الشرط الضروري لكي نتمكن من الوقوف في وجه أعدائنا والقضاء على حماس"".

نتنياهو و""نبوءة إشعياء""

وكثيرا ما يلجأ نتنياهو وقادة إسرائيليون آخرون إلى نصوص التوراة لتبرير مواصلة العدوان على قطاع غزة وغيره من الجبهات؛ في خطاب متلفز يوم الأربعاء 25 أكتوبر/تشرين الأول الماضي، استدعى نتنياهو ""نبوءة إشعياء"" في إطار سعيه لمواصلة حرب الإبادة على قطاع غزة، وقال ""نحن أبناء النور بينما هم أبناء الظلام، وسينتصر النور على الظلام"".

وأضاف نتنياهو ""سنحقق نبوءة إشعياء، لن تسمعوا بعد الآن عن الخراب في أرضكم، سنكون سببا في تكريم شعبكم، سنقاتل معا وسنحقق النصر"".

كما استدعى نصا دينيا آخر، حين قال ""يجب أن تتذكروا ما فعله عماليق بكم، كما يقول لنا كتابنا المقدس. ونحن نتذكر ذلك بالفعل، ونحن نقاتل بجنودنا الشجعان وفرقنا الذين يقاتلون الآن في غزّة وحولها وفي جميع المناطق الأخرى في إسرائيل"".

إعلان

وكلمة العماليق تحيل إلى قبيلة من البدو الرحل سكنوا شبه جزيرة سيناء وجنوبي فلسطين، وصارت تعني في الثقافة اليهودية ""ذروة الشر الجسدي والروحي"".",Real
8,2024-09-16,AJPalestine,ألمانيا توسع الرقابة الحدودية لمحاربة الهجرة فكيف تتأثر شنغن؟,"بدأت ألمانيا اليوم الاثنين تمديد الرقابة على جميع حدودها في محاولة للحد من الهجرة غير القانونية، وهي خطوة يعتبر منتقدوها أنها تهدد قواعد منطقة شنغن الخاصة بحرية الحركة.

وكان من المقرر أن تبدأ الشرطة الألمانية بإجراء عمليات تفتيش على المعابر الحدودية مع لوكسمبورغ وبلجيكا وهولندا والدانمارك، موسعة الرقابة السابقة على المعابر مع بولندا وجمهورية التشيك والنمسا وسويسرا وفرنسا.

وكانت وزيرة الداخلية نانسي فيزر، التي أمرت بإجراءات التفتيش، قد شددت على أنه لا ينبغي للمسافرين عبر الحدود أن يتوقعوا حدوث تعطيل كبير في حركة المرور.

وأدرجت فيزر الرقابة الجديدة رسميا لدى المفوضية الأوروبية قبل أسبوع، مشيرة إلى أنها ضرورية بسبب الأعداد الكبيرة من المهاجرين الذين يصلون إلى ألمانيا.

ومن المقرر أن تستمر الرقابة في البداية لمدة 6 أشهر، ولكن قد يتم تمديدها.

ويشار إلى أن اتفاقية شنغن تشمل معظم دول الاتحاد الأوروبي بالإضافة إلى النرويج وسويسرا وآيسلندا وليختنشتاين وتسمح بالحركة الحرة عبر حدودها الداخلية.

لكن الرقابة عادت على بعض المعابر بسبب الوضع المتعلق بالمهاجرين.

وتسمح الرقابة على الحدود للسلطات بإرجاع المهاجرين، وهي عملية أسهل بكثير من ترحيلهم بعد دخولهم.

وأعادت ألمانيا منذ أكتوبر/تشرين الأول 2023 حوالي 30 ألف مهاجر ليس لهم حق قانوني في دخول البلاد.

وعاد موضوع الهجرة إلى صدارة الأجندة السياسية بعد أن قتل 3 أشخاص الشهر الماضي في عملية طعن جماعي في مدينة زولينغن غربي البلاد، في هجوم اتهم رجل سوري بتنفيذه.",Real
9,2024-09-14,AJPalestine,مظاهرات في الأردن تطالب باستعادة جثمان الجازي من إسرائيل,"شهدت العاصمة الأردنية عمان مظاهرة للمطالبة باستعادة جثمان ماهر الجازي الحويطات، منفذ عملية جسر الملك حسين، التي قتل فيها 3 إسرائيليين.

وطالب المتظاهرون بوقف الحرب الإسرائيلية على قطاع غزة ودعم المقاومة، كما طالبوا، وفقا لمراسل الجزيرة نت تامر الصمادي الذي تابع المظاهرة، باستعادة اثنين من المواطنين الأردنيين لا يزالان يخضعان للتحقيق لدى الجانب الإسرائيلي على خلفية العملية.

وقال الصمادي إن المظاهرة جرت وسط البلدة القديمة بالعاصمة عمان، حيث عبّر المئات عن تأييدهم للعملية التي نفذها ماهر الجازي، ورفعوا صوره إلى جوار صور أبو عبيدة المتحدث باسم كتائب القسام، وذلك في رسالة تأييد ودعم وتضامن مع المقاومة الفلسطينية في قطاع غزة.

وأشار الصمادي إلى أن الحكومة الأردنية سبق أن أوضحت أنها تجري اتصالات دؤوبة منذ أيام لاستعادة جثمان الجازي المحتجز في إسرائيل، وكذلك عودة المواطنين المحتجزين للتحقيق هناك، فضلا عن جهودها لوقف العدوان الإسرائيلي المستمر على غزة منذ ما يقرب من عام كامل.

وكان الجازي، عسكري أردني متقاعد يعمل سائق شاحنة، قد أطلق النار على أمن المعابر الإسرائيلي لدى مروره بشاحنته على المعبر الذي يحمل من الجانب الإسرائيلي اسم اللنبي، فقتل 3 منهم قبل أن يُستشهد برصاص الأمن الإسرائيلي في الثامن من سبتمبر/أيلول الجاري.",Real
