Id,date,platform,title,News content,Label
1,2025-04-01,AJPalestine,في صحيفة هآرتس نقرأ شهادة,"في صحيفة هآرتس نقرأ شهادة صادمة لضابط إسرائيلي رفض الكشف عن اسمه أن كل سرية في الجيش الإسرائيلي تستخدم فلسطينيا في غزة درعا بشريا ستَ مرات على الأقل يومياً، إذ يُجبر المواطن الفلسطيني على دخول منازلَ بهدف التأكد من خلوها من المتفجرات
#الأخبار #حرب_غزة",Real
2,2025-04-01,tibianps,❌ #الإشاعة: تداول نشطاء خبراً,"❌ #الإشاعة:
تداول نشطاء خبراً على لسان القيادي في حركة حماس أسامة حمدان بأن الحركة لن تقدم أي تنازلات لإعادة إعمار غزة.

✅ #الحقيقة:
تحقق فريق منصة ""تبيان"" من الخبر المنشور وتبين أنه مفبرك ولم يعثر على أي بيان أو تصريح للقيادي حمدان حول هذه القضية، وأن موقف الحركة معروف بالدعوة إلى توافق فلسطيني حول قضايا الإعمار وإدارة قطاع غزة

📌 تفاصيل أكثر تجدونها في قناة الواتساب ⬇️⬇
🔗 https://whatsapp.com/channel/0029Vb5c5LwH5JM2lSYWEs0m",Fake
3,2025-04-01,tibianps,❌ #الإشاعة: تداول نشطاء خبراً,"❌ #الإشاعة:
تداول نشطاء خبراً حول سقوط 5 قتلى في اشتباكات بين عناصر من حماس وعائلات غرب مدينة غزة.

✅ #الحقيقة:
تحقق فريق منصة ""تبيان"" من الخبر المنشور وتبين أنه غير صحيح ولم يعثر على أي معلومة حول هذه المزاعم


📌 تفاصيل أكثر تجدونها في قناة الواتساب ⬇️⬇
🔗 https://whatsapp.com/channel/0029Vb5c5LwH5JM2lSYWEs0m",Fake
4,2025-04-01,AJPalestine,وزير الخارجية الإسرائيلي: - طائراتنا,"وزير الخارجية الإسرائيلي: 
- طائراتنا قصفت صباح اليوم مقار لحـ.ـزب الله في #لبنان
- سنواصل استهداف أي عناصر إرهابية تشكل تهديدا على أمننا
- آمل أن نتوصل إلى اتفاق لوقف إطلاق النار في غزة لكن حماس رفضت عرض المبعوث الأمريكي
#الجزيرة",Real
5,2025-04-01,AJPalestine,نفاد الدقيق في غزة.. المخابز,"نفاد الدقيق في غزة.. المخابز تتوقف وآلاف الأطفال يواجهون خطر الجوع
#الجزيرة #الأخبار",Real
6,2025-04-01,AJPalestine,رئيس شبكة المنظمات الأهلية بغزة,"رئيس شبكة المنظمات الأهلية بغزة للجزيرة: 
- دخلنا مرحلة جديدة من المجاعة بسبب الحصار الإسرائيلي
- وصلنا إلى مرحلة غير مسبوقة من الكارثة الإنسانية التي يعيشها شعبنا
- الاحتلال يسعى بشكل ممنهج إلى الإضرار بحياة المواطنين في القطاع
#الجزيرة",Real
7,2025-04-01,MisbarFC,#صحيح_مسبار | ✅ وفقًا لمنظمة,#صحيح_مسبار | ✅ وفقًا لمنظمة يونسيف، فإن انهيار وقف إطلاق النار وما تلاه من استئناف القصف المكثّف والعمليات البرية في قطاع غزة قد أسفر عن وقوع ما لا يقل عن 322 طفلًا ضحية وإصابة 609 أطفال آخرين؛ أي بمعدّل يومي في الأيام العشرة الفائتة يقارب 100 طفل يقتلون أو يصابون كل يوم.,Fake
8,2025-04-01,AJPalestine,رئيس شبكة المنظمات الأهلية بغزة,"رئيس شبكة المنظمات الأهلية بغزة للجزيرة: 
- دخلنا مرحلة جديدة من المجاعة بسبب الحصار الإسرائيلي
- وصلنا إلى مرحلة غير مسبوقة من الكارثة الإنسانية التي يعيشها شعبنا
- الاحتلال يسعى بشكل ممنهج إلى الإضرار بحياة المواطنين في القطاع
#الجزيرة",Real
9,2025-04-01,AJPalestine,استشهاد الصحفي محمد البردويل وزوجته,"استشهاد الصحفي محمد البردويل وزوجته وأبناؤه إثر استهداف طائرات الاحتلال لشقته في خان يونس جنوب قطاع #غزة
#الجزيرة",Real
10,2025-04-01,AJPalestine,إجبار سكان من رفح وخان,"إجبار سكان من رفح وخان يونس على النزوح بعد أوامر إسرائيلية
#فيديو #حرب_غزة",Real
11,2025-04-01,AJPalestine,لحظة قصف طائرات الاحتلال منزلاً,"لحظة قصف طائرات الاحتلال منزلاً في منطقة الزنة شرق خان يونس جنوبي قطاع غزة
#الجزيرة #فيديو",Real
12,2025-04-01,AJPalestine,بينما يشتد سباق الذكاء الاصطناعي,"بينما يشتد سباق الذكاء الاصطناعي عالميًا، تجد إسرائيل نفسها في موقف صعب، ليس فقط بسبب تراجع الابتكار التكنولوجي، ولكن بسبب تصاعد ظاهرة هجرة الكفاءات نتيجة الحرب وعدم الاستقرار السياسي. فما تأثير الأوضاع الأمنية والسياسية على هجرة العقول ومستقبل التكنولوجيا في إسرائيل؟
#الأخبار #حرب_غزة",Real
13,2025-04-01,AJPalestine,وكالة فيتش للتصنيف الائتماني: -,"وكالة فيتش للتصنيف الائتماني: 
- تصنيف إسرائيل عند A مع نظرة مستقبلية سلبية
- النظرة السلبية لإسرائيل تعكس زيادة الدين العام والسياسات الداخلية والضبابية بشأن الصراع في غزة",Real
14,2025-04-02,MisbarFC,**#مسبار_تعاون**** | ✍️ ** خلال,"**#مسبار_تعاون**** | ✍️
**
خلال الحرب على #غزة و #لبنان، تعاون مسبار مع منصتي #صواب و #تحقق، لتسليط الضوء على أساليب التضليل الإعلامي، وتعزيز مهارات الصحفيين وطلّاب الإعلام في التحقق من المعلومات خلال الأزمات.

#اليوم_العالمي_لتدقيق_المعلومات #دقق_بالعربي #FactsMatter",Fake
15,2025-04-02,tibianps,❌ #الإشاعة: تداول نشطاء بيانا,"❌ #الإشاعة:
تداول نشطاء بيانا مفبركا عن عائلات وعشائر المحافظات الجنوبية يتهم فيه حركة حماس بتشكيل مليشيات لقمع السكان في غزة وأن أحد أفرادها قتل المواطن أبو سمرة.

✅ #الحقيقة:
تحقق فريق منصة ""تبيان"" من البيان المنشور وتبين أنه مفبرك ولم يصدر عن عائلات وعشائر المحافظات الجنوبية  أي بيان بهذا النص. 

📌 تفاصيل أكثر تجدونها في قناة الواتساب ⬇️⬇
🔗 https://whatsapp.com/channel/0029Vb5c5LwH5JM2lSYWEs0m",Fake
16,2025-04-02,tibianps,❌ #الإشاعة: تداول نشطاء تصريحا,"❌ #الإشاعة:
تداول نشطاء تصريحا مفبركا على لسان رئيس حركة حماس في غزة د. خليل الحية يدعم فيه مشاركة قطر في مناورات عسكرية إلى جانب الاحتلال الصهيوني.

✅ #الحقيقة:
تحقق فريق منصة ""تبيان"" من التصريح المنشور وتبين أنه مفبرك ولم يصدر عن الحية أي دعم أو تبرير لمشاركة قطر إلى جانب الاحتلال الصهيوني في مناورات عسكرية مشتركة.

📌 تفاصيل أكثر تجدونها في قناة الواتساب ⬇️⬇
🔗 https://whatsapp.com/channel/0029Vb5c5LwH5JM2lSYWEs0m

وعبر تليجرام 

[https://t.me/tibianps](https://t.me/tibianps)",Fake
17,2025-04-02,AJPalestine,الاحتلال يوسع عملياته في غزة,"الاحتلال يوسع عملياته في غزة وغضب من ذوي الأسرى الإسرائيليين.. التفاصيل مع نجوان سمري
#الجزيرة #الأخبار",Real
