Id,date,platform,title,News content,Label
1,2024-01-12,AJPalestine,المتحدث باسم مستشفى شهداء الأقصى,"المتحدث باسم مستشفى شهداء الأقصى للجزيرة: 
- انتشار أمراض عدة في قطاع غزة وخاصة بين الأطفال
- المجاعة انتشرت في جميع المحافظات ونناشد المجتمع الدولي للتدخل
#الجزيرة",Real
2,2024-01-12,AJPalestine,نادي الأسير الفلسطيني: استشهاد اثنين,نادي الأسير الفلسطيني: استشهاد اثنين من معتقلي قطاع غزة في سجون الاحتلال الإسرائيلي,Real
3,2024-01-12,AJPalestine,مقتل جندي إسرائيلي بمعارك غزة,مقتل جندي إسرائيلي بمعارك غزة والقسـ.ـام تعلن استهداف دبابات في النصيرات ورفح #حرب_غزة #فيديو,Real
4,2024-01-12,AJPalestine,مسيرة تستهدف صحفي في ساحة,مسيرة تستهدف صحفي في ساحة المستشفى المعمداني #حرب_غزة #فيديو,Real
5,2024-01-12,AJPalestine,وزير الأمن القومي إيتمار بن,"وزير الأمن القومي إيتمار بن غفير لإذاعة الجيش الإسرائيلي: الصفقة المطروحة حاليا لن تعيد جميع المختطفين
-سأستقيل إن تم التوصل لوقف إطلاق النار وإبرام صفقة غير مسؤولة
-أتحدث في كل جلسة عن أهمية تهجير سكان قطاع غزة طوعيا والظروف مناسبة لذلك الآن #حرب_غزة",Real
6,2024-01-12,قناة النصيرات الإخبارية,وزير الخارجية الإسرائيلي جدعون ساعر:,وزير الخارجية الإسرائيلي جدعون ساعر: لدينا دلائل أن حماس ستكون أكثر مرونة في المفاوضات في ظل الظروف التي نشأت,Fake
7,2024-01-12,AJPalestine,عاجل | مراسل #الجزيرة: 4,عاجل | مراسل #الجزيرة: 4 شهداء في قصف إسرائيلي على فلسطينيين في مخيم الشابورة وسط #رفح جنوبي قطاع غزة,Real
8,2024-01-12,AJPalestine,3 فلسطينيات توفين جراء التدافع,"3 فلسطينيات توفين جراء التدافع أمام أحد المخابز من أجل الحصول على كسرة خبز
#رقمي #حرب_غزة",Real
9,2024-01-12,AJPalestine,غزيون يحاولون انتشال جيرانهم بعد,غزيون يحاولون انتشال جيرانهم بعد قصف إسرائيلي #حرب_غزة #فيديو,Real
10,2024-01-12,AJPalestine,"""رمل بدل السكر"" وأخرى تحوي","""رمل بدل السكر"" وأخرى تحوي متفجرات.. فيديوهات متداولة لمساعدات أدخلها الجيش لغزة
#رقمي #حرب_غزة",Real
